tweet_text,PREPROCESSED_tweet_text,SENTIMENT_PREPROCESSED_tweet_text,TOPIC_PREPROCESSED_tweet_text,LANG_PREPROCESSED_tweet_text
"Gözlüğü taktıktan sonra ben: ""Dünya bu kadar net miydi ya ?""","gözlüğü taktıktan ben: ""dünya net miydi ?""",positive,1,tr
Kahve falı bakmayı da öğrendik bugün. Falcılığa da başlayacağım yakında,kahve falı bakmayı öğrendik bugün. falcılığa başlayacağım yakında,positive,4,tr
@insansahafi @vay_efendim dersanem var siz yürüyün benim yerime de asdasdasd,  dersanem yürüyün yerime asdasdasd,negative,3,tr
@insansahafi @vay_efendim 6 buçuk ideal bence :D,   buçuk ideal bence :d,positive,4,en
@insansahafi @vay_efendim kısmet nasip bakalım.........,  kısmet nasip bakalım.........,positive,3,tr
@insansahafi @vay_efendim en son lastiğin patladığı gün gidecektim. lastik patladı şimdi de dersaneye başladım. bu hafta içinde gidicem inş,  son lastiğin patladığı gün gidecektim. lastik patladı dersaneye başladım. hafta gidicem inş,negative,3,tr
@insansahafi @vay_efendim var bi cenabetlik ama du bakalım bende mi doktorda mı bilmiyorum,  bi cenabetlik du bakalım bende doktorda bilmiyorum,negative,3,tr
"""Burak uyan oğlum çay demledim"" şu cümledeki güzelliğe bakar mısınız. Hey maşallah","""burak uyan oğlum çay demledim"" cümledeki güzelliğe bakar mısınız. hey maşallah",positive,3,tr
@vay_efendim siktir git lan, siktir git lan,positive,4,tr
@OnurSnmez2 kesinlikle öyle yapacak :), kesinlikle :),positive,0,tr
@OnurSnmez2 ahaha doğru tahmin :), ahaha doğru tahmin :),positive,3,tr
@vay_efendim müziği bırak sen çizime yönel gülnur valla bak, müziği bırak çizime yönel gülnur valla bak,negative,3,tr
@vay_efendim sen mi yaptın bunları, yaptın,positive,2,tr
This fuckin' machine in my head,this fuckin' machine in my head,positive,2,en
@insansahafi anforçınıtliy vi ar köylü end vi nov it, anforçınıtliy vi ar köylü end vi nov it,positive,1,tr
@insansahafi Yazar burda Silivri'nin amınakoyayım demeye çalışıyor., yazar burda silivri'nin amınakoyayım demeye çalışıyor.,negative,2,tr
@vay_efendim Dilarayla ilgilenin biraz Allah rızası için :D, dilarayla ilgilenin allah rızası :d,positive,3,tr
"RT @gafebesi: ""İçinde bulunduğum durumu kimseye anlatamam, sen de anlamazsın. Ben bile anlamıyorum ki başkasına nasıl anlatırım!"" 
Franz Ka…","rt  ""i̇çinde bulunduğum durumu kimseye anlatamam, anlamazsın. anlamıyorum başkasına anlatırım!"" franz ka…",positive,0,tr
Büyük beddua ettim.,büyük beddua ettim.,negative,2,tr
Allah herkese Mustafa gibi bir arkadaş versin.,allah mustafa arkadaş versin.,negative,3,ms
Evde tek kaldığında yapılacak en güzel şey: Çay,evde tek kaldığında yapılacak güzel şey: çay,negative,0,tr
#HeartBreaker 'ı sizden öğrenecek değiliz !!! Led Zeppelin - Heartbreaker Studio Version : http://t.co/fMEVsr21Kn, 'ı öğrenecek değiliz !!! led zeppelin - heartbreaker studio version : ,positive,2,tr
Bateriye ilk başladığım dönemler........... http://t.co/l0GLPwFvhI,bateriye ilk başladığım dönemler........... ,positive,2,tr
@insansahafi sie., sie.,positive,3,pl
@insansahafi ne zaman dedim lan ben öyle hıyar..., zaman dedim lan hıyar...,negative,2,tr
SOLCIR OF FORÇUN.,solcir of forçun.,positive,2,jv
@gozlukludemeter teşekkürler, teşekkürler,positive,2,tr
@gozlukludemeter can sıkıntısından radyo kurdum Demet beklerim :), can sıkıntısından radyo kurdum demet beklerim :),positive,2,tr
"RT @okanbayulgen: Sabaha kadar açık kütüphaneler olsaydı.Öğrenciler için bedava çay, kahve ve çorba.Sigara yasak olabilirdi, aşık olmak ser…","rt  sabaha açık kütüphaneler olsaydı.öğrenciler bedava çay, kahve çorba.sigara yasak olabilirdi, aşık ser…",negative,3,tr
@vay_efendim @tambirevkedisi siktirin gidin başka yerde oynayın...................,  siktirin gidin başka yerde oynayın...................,negative,3,tr
Kaybettiğim penaları bulmanın vermiş olduğu haz...,kaybettiğim penaları bulmanın vermiş haz...,negative,0,tr
@senabr6 Bunlar olduğu sürece daha özgür daha mutlu bir ülke olacağız., sürece özgür mutlu ülke olacağız.,positive,1,tr
@senabr6 2 önemli adım var.İlki önyargılardan sıyrılmak.İkincisi eğitim sisteminin düzelmesi ve düşünebilen bireyler yetiştirilmesi,  önemli adım var.i̇lki önyargılardan sıyrılmak.i̇kincisi eğitim sisteminin düzelmesi düşünebilen bireyler yetiştirilmesi,negative,2,tr
@senabr6 Gitmek çözüm yolu değil. Esas mesele daha özgür bir Türkiye oluşturmak, gitmek çözüm yolu değil. esas mesele özgür türkiye oluşturmak,negative,3,tr
@senabr6 Maalesef. Ben de bundan bahsediyorum işte, maalesef. bahsediyorum,negative,2,tr
@senabr6 Faşist ve baskıcı hükumetlere herzaman karşıyımdır, faşist baskıcı hükumetlere herzaman karşıyımdır,negative,2,tr
@senabr6 Katılmıyor olabilirsin katılmak zorunda da değilsin herkesin kendine ait görüşleri vardır. Senin görüşlerini saygıyla karşılıyorum., katılmıyor olabilirsin katılmak zorunda değilsin ait görüşleri vardır. görüşlerini saygıyla karşılıyorum.,positive,4,tr
@senabr6 saygısızlıktır. İsteyen istediğini yaşamakta özgürdür., saygısızlıktır. i̇steyen istediğini yaşamakta özgürdür.,negative,2,tr
@senabr6 Ve ülkelerin dininin olmaması gerektiği kanaatindeyim.Bu sebeple dini bir kuralın yasak haline getirilmesi diğer görüşlere, ülkelerin dininin olmaması gerektiği kanaatindeyim.bu sebeple dini kuralın yasak haline getirilmesi görüşlere,negative,3,tr
