tweet_text,PREPROCESSED_tweet_text,SENTIMENT_PREPROCESSED_tweet_text,LANG_PREPROCESSED_tweet_text,TOPIC_PREPROCESSED_tweet_text
"Siber Küme Yaz Kampı'nda ArGe Mühendisimiz Burak Tahtacı #yapayzeka ve Uygulamaları"" eğitimini verecektir. Detaylar… https://t.co/0pecYls1Qh","siber küme yaz kampı'nda arge mühendisimiz burak tahtacı  ve uygulamaları"" eğitimini verecektir. detaylar… ",positive,tr,9
Üyesi olduğumuz @siberkume organizasyonu ile T.C. Cumhurbaşkanlığı Dijital Dönüşüm Ofisi Başkan’ı Sn. Ali Taha Koç’… https://t.co/cyRvk5atOP,üyesi olduğumuz  organizasyonu ile t.c. cumhurbaşkanlığı dijital dönüşüm ofisi başkan’ı sn. ali taha koç’… ,positive,tr,2
Nice sağlıklı ve mutlu bayramlar dileriz... #kurbanbayramı #mutlubayramlar https://t.co/cAouw0RQBw,nice sağlıklı ve mutlu bayramlar dileriz...   ,positive,tr,3
"""Korelasyon Senaryoları - Bölüm III"" başlıklı blog yazımız için lütfen bağlantıyı tıklayınız.… https://t.co/kd7prglub5","""korelasyon senaryoları - bölüm iii"" başlıklı blog yazımız için lütfen bağlantıyı tıklayınız.… ",positive,tr,3
"Siber Kafe etkinliğinde, kamu kurumları ve firma yöneticilerinin yanı sıra Jandarma Genel Komutanlığı MEBS Başkanı… https://t.co/j3u9yk4BG6","siber kafe etkinliğinde, kamu kurumları ve firma yöneticilerinin yanı sıra jandarma genel komutanlığı mebs başkanı… ",positive,tr,7
#15Temmuz #DemokrasiveMilliBirlikGünü https://t.co/Y3zlSrktOo,  ,positive,unk,0
"""Pony Zararlı Analizi ve Uygulanabilecek SIGMA Kuralı"" konulu blog yazımız yayımlanmıştır. Detay için:… https://t.co/2n8mIcApMb","""pony zararlı analizi ve uygulanabilecek sigma kuralı"" konulu blog yazımız yayımlanmıştır. detay için:… ",positive,tr,3
"CRYPTTECH CTO'su @tkobalas 'ın konuşmacıları arasında yer alacağı ""Yapay Zeka Zirvesi"" 28 Haziran Cuma günü, 14:00-… https://t.co/tuhkKk8U8t","crypttech cto'su  'ın konuşmacıları arasında yer alacağı ""yapay zeka zirvesi"" 28 haziran cuma günü, 14:00-… ",positive,tr,8
"Cumhurbaşkanlığı @SavunmaSanayii Başkanlığı, Sanayileşme Dairesi Başkanı Sayın Murat Çizgel ve ekibi Hacettepe Tekn… https://t.co/qjoDV4lYFS","cumhurbaşkanlığı  başkanlığı, sanayileşme dairesi başkanı sayın murat çizgel ve ekibi hacettepe tekn… ",negative,tr,6
APT34 konulu blog yazımız için lütfen bağlantıyı tıklayını: https://t.co/XWWe9Da6Zd #apt34… https://t.co/aAAMX4pgmW,apt34 konulu blog yazımız için lütfen bağlantıyı tıklayını:   ,positive,tr,3
Lütfen #CRYPTOLOG ürünümüzle ilgili fikrinizi paylaşmak üzere 1 dakikanızı ayırın.Düşüncelerinizi toplamak üzere Ca… https://t.co/hMCr609znl,lütfen  ürünümüzle ilgili fikrinizi paylaşmak üzere 1 dakikanızı ayırın.düşüncelerinizi toplamak üzere ca… ,negative,tr,1
"Hello,
Please take a moment to write a short review on your experience with our CRYPTOLOG product. We are offering… https://t.co/OB08Ft8ewB","hello,
please take a moment to write a short review on your experience with our cryptolog product. we are offering… ",positive,en,8
Sevgili babalarımızın #babalargunu kutlu olsun. #HappyFathersDay https://t.co/9sZOcPoX4e,sevgili babalarımızın  kutlu olsun.  ,positive,tr,6
"""Covenant"" başlıklı blog yazımız için lütfen bağlantıyı tıklayınız. https://t.co/VznYjxiBg1  #covenant #c2c… https://t.co/hbhnsKln7N","""covenant"" başlıklı blog yazımız için lütfen bağlantıyı tıklayınız.     ",positive,tr,3
#MutluBayramlar #RamazanBayramı #NiceBayramlara https://t.co/BC4h636fXX,   ,positive,unk,0
"""PlugX Zararlı Analizi ve Uygulanabilecekler"" konulu blog yazımız yayımlanmıştır. Okumak için lütfen bağlantıyı tık… https://t.co/mNMwKTjpGS","""plugx zararlı analizi ve uygulanabilecekler"" konulu blog yazımız yayımlanmıştır. okumak için lütfen bağlantıyı tık… ",negative,tr,3
"""Formbook Zararlı Analizi ve Alınması Gereken Önlemler"" konulu blog yazımız için lütfen bağlantıyı tıklayınız:… https://t.co/UbznLXkX8f","""formbook zararlı analizi ve alınması gereken önlemler"" konulu blog yazımız için lütfen bağlantıyı tıklayınız:… ",positive,tr,3
"Milli Mücadelemizde atılan ilk adımın 100. yılında, başta Gazi Mustafa Kemal Atatürk olmak üzere, Kurtuluş Savaşı’n… https://t.co/T9RpzwmZtl","milli mücadelemizde atılan ilk adımın 100. yılında, başta gazi mustafa kemal atatürk olmak üzere, kurtuluş savaşı’n… ",positive,tr,2
"""Nymaim ve Uygulanabilecek Sigma Kuralları"" konulu blog yazımız için lütfen bağlantıyı tıklayınız:… https://t.co/18j5ZQqMKh","""nymaim ve uygulanabilecek sigma kuralları"" konulu blog yazımız için lütfen bağlantıyı tıklayınız:… ",positive,tr,3
"RT @CyberMag_: IDEF’19 FUARINDA CRYPTTECH’E YOĞUN İLGİ 
- CyberMag 
https://t.co/GpBppD4uLB
@crypttech https://t.co/OYqJsVEKmA","rt  idef’19 fuarinda crypttech’e yoğun i̇lgi̇ 
- cybermag 

 ",positive,tr,2
Anneler Gününüz kutlu olsun.❤️💐 #annelergunu #AnnelerGünü #annelergünükutluolsun https://t.co/KzgbKPbq5e,anneler gününüz kutlu olsun.    ,positive,tr,6
#NTV röportaj part2 https://t.co/VI7TuSxhzT, röportaj part2 ,positive,tr,3
Teknik Çözümler Müdürümüz Burhan Ünal CANMAYA’nın NTV’de yayımlanan röportajı #IDEF19 #SiberGüvenlik #Cybersecurity… https://t.co/7VYQrFvfgf,teknik çözümler müdürümüz burhan ünal canmaya’nın ntv’de yayımlanan röportajı    ,negative,tr,0
RT @siberkume: Türkiye Siber Güvenlik Kümelenmesi üye firmalarından @BarikatBilGuv ile kümelenme üyesi @Berqnet @KarmasisBilisim @crypttech…,rt  türkiye siber güvenlik kümelenmesi üye firmalarından  ile kümelenme üyesi   ,positive,tr,5
"""IDEF'19 Fuarında CRYPTTECH'e Yoğun İlgi"" başlıklı @CyberMag_ haberimiz için lütfen bağlantıyı tıklayınız.… https://t.co/zgruwlWRJ5","""idef'19 fuarında crypttech'e yoğun i̇lgi"" başlıklı  haberimiz için lütfen bağlantıyı tıklayınız.… ",positive,tr,3
"#IDEF19 Uuslararası Savunma Sanayii fuarının son gününde, Türkiye Siber Güvenlik Kümelenmesi üyesi olarak, diğer üy… https://t.co/VgODQE0L0v"," uuslararası savunma sanayii fuarının son gününde, türkiye siber güvenlik kümelenmesi üyesi olarak, diğer üy… ",negative,tr,5
"Siber Güvenlik, İstihbarat ve Yazılım Müdürü Tuba Ebru AKSU, IDEF’19 #UluslararasıSavunmaSanayii fuarındaki standım… https://t.co/WkX0YSyXOp","siber güvenlik, i̇stihbarat ve yazılım müdürü tuba ebru aksu, idef’19  fuarındaki standım… ",negative,tr,2
"Cumhurbaşkanlığı Savunma Sanayii Başkan Yardımcısı Sayın Mustafa Murat ŞEKER, Savunma Sanayii Elektronik Harp ve Ra… https://t.co/XpYpQ48mUT","cumhurbaşkanlığı savunma sanayii başkan yardımcısı sayın mustafa murat şeker, savunma sanayii elektronik harp ve ra… ",negative,tr,5
Genel Kurmay Başkanı Sayın Orgeneral Yaşar GÜLER #IDEF2019 #UluslararasıSavunmaSanayii fuarındaki standımızı ziyare… https://t.co/HYR1QllhbU,genel kurmay başkanı sayın orgeneral yaşar güler   fuarındaki standımızı ziyare… ,negative,tr,7
Katılımcısı olduğumuz #IDEF2019 protokol özel töreni ile bugün açılıyor. Savunma Sanayii’nde yeni nesil çözümlerimi… https://t.co/6fqheKEK0U,katılımcısı olduğumuz  protokol özel töreni ile bugün açılıyor. savunma sanayii’nde yeni nesil çözümlerimi… ,positive,tr,4
23 Nisan Ulusal Egemenlik ve Çocuk Bayramımız kutlu olsun... #23NisanUlusalEgemenlikveCocukBayramı #23Nisan… https://t.co/8oIW92CM9Y,23 nisan ulusal egemenlik ve çocuk bayramımız kutlu olsun...   ,positive,tr,6
"""FASTCash ve Uygulanabilecek SIGMA Kuralı"" konulu blog yazımız için lütfen bağlantıyı tıklayınız.… https://t.co/sPx8cAuO7I","""fastcash ve uygulanabilecek sigma kuralı"" konulu blog yazımız için lütfen bağlantıyı tıklayınız.… ",positive,tr,3
"""Ryuk ve Uygulanabilecek SIGMA Kuralları"" konulu blog yazımız yayımlanmıştır. Okumak için lütfen bağlantıyı tıklayı… https://t.co/IIsHr0u2ou","""ryuk ve uygulanabilecek sigma kuralları"" konulu blog yazımız yayımlanmıştır. okumak için lütfen bağlantıyı tıklayı… ",positive,tr,3
"With our next generation Cyber Defence Solutions, we are at the IDEF'19 14th International Defence Industry Fair.… https://t.co/JBaWeltubB","with our next generation cyber defence solutions, we are at the idef'19 14th international defence industry fair.… ",positive,en,1
Siber Savunmada Yeni Nesil Çözümlerimiz ile IDEF'19 14. Uluslararası Savunma Sanayii Fuarındayız. #IDEF19… https://t.co/OuxJHwAdIQ,siber savunmada yeni nesil çözümlerimiz ile idef'19 14. uluslararası savunma sanayii fuarındayız.  ,positive,tr,7
"""Charming Kitten"" isimli siber casusluk grubu ve kullandıkları siber saldırı yöntemleri konulu blog yazımız yayımla… https://t.co/khWV83XNPp","""charming kitten"" isimli siber casusluk grubu ve kullandıkları siber saldırı yöntemleri konulu blog yazımız yayımla… ",negative,tr,0
"""Kovter Zararlı Yazılımı ve Uygulanabilecek SIEM Kuralları"" konulu blog yazımız için lütfen bağlantıyı tıklayınız.… https://t.co/XBrTKoITrX","""kovter zararlı yazılımı ve uygulanabilecek siem kuralları"" konulu blog yazımız için lütfen bağlantıyı tıklayınız.… ",negative,tr,3
"Ücretsiz Kayıt : https://t.co/oqTucJNbjF
CRYPTTECH Hukuk Danışmanı @av_omerozer ""KVKK Uyumluluğu ve Yapay Zeka"" kon… https://t.co/TxYd0WRmSU","ücretsiz kayıt : 
crypttech hukuk danışmanı  ""kvkk uyumluluğu ve yapay zeka"" kon… ",positive,tr,9
"""Ghidra"" konulu blog yazımız yayımlanmıştır. Ghidra yazılımı ile ilgili daha fazla bilgi için lütfen bağlantıyı tık… https://t.co/dAxrP0RqN0","""ghidra"" konulu blog yazımız yayımlanmıştır. ghidra yazılımı ile ilgili daha fazla bilgi için lütfen bağlantıyı tık… ",positive,tr,3
18 Mart Çanakkale Zaferimizin 104. yılında aziz şehitlerimizi rahmet ve minnetle anıyoruz... #ÇanakkaleZaferi… https://t.co/9HNID57Tit,18 mart çanakkale zaferimizin 104. yılında aziz şehitlerimizi rahmet ve minnetle anıyoruz...  ,positive,tr,6
"Hukuk Danışmanımız @av_omerozer 'in @ST @stendustriradyo 'da Sn. Murat Tanık'ın konuğu olarak ""KVKK ve Uyum / Veri… https://t.co/JDEL1Suifu","hukuk danışmanımız  'in   'da sn. murat tanık'ın konuğu olarak ""kvkk ve uyum / veri… ",negative,tr,5
14 Mart Dünya Pi Günü kutlu olsun... #PiDay #PiDay2019 #Pigünü https://t.co/iiD3Ky9IWs,14 mart dünya pi günü kutlu olsun...    ,positive,tr,6
"""CoinMiner Zararlı Yazılımı ve Uygulanabilecek SIEM Kuralları"" konulu blog yazımız yayımlanmıştır. Lütfen bağlantıy… https://t.co/ToHEk9qOMC","""coinminer zararlı yazılımı ve uygulanabilecek siem kuralları"" konulu blog yazımız yayımlanmıştır. lütfen bağlantıy… ",negative,tr,3
8 Mart Dünya Kadınlar Günü kutlu olsun... #8martdunyakadinlargunu #8Mart #dünyakadınlargünü #HappyWomensDay2019… https://t.co/MmEosptk2j,8 mart dünya kadınlar günü kutlu olsun...     ,positive,tr,6
You can also access our document portal from a new unitmon web site. Keep watching us... https://t.co/GFnyuwEHbi… https://t.co/zALzp2G5nl,you can also access our document portal from a new unitmon web site. keep watching us...  ,positive,en,0
"Please click on the link for a description of the latest added features, updates and bug fixes we have been working… https://t.co/dw8gtDtOZF","please click on the link for a description of the latest added features, updates and bug fixes we have been working… ",positive,en,5
"UNITMON v1.91.0 Has Been Released! To make UNITMON an even better experience for you, we focused mainly on Ease of… https://t.co/sAcaQ5CL7W","unitmon v1.91.0 has been released! to make unitmon an even better experience for you, we focused mainly on ease of… ",positive,en,7
You can also access our document portal from a new unitmon web site. Keep watching us... https://t.co/GFnyuwEHbi… https://t.co/bjxKXTZjhH,you can also access our document portal from a new unitmon web site. keep watching us...  ,positive,en,0
"Please click on the link for a description of the latest added features, updates and bug fixes we have been working… https://t.co/Y9Wl85g4Cv","please click on the link for a description of the latest added features, updates and bug fixes we have been working… ",positive,en,5
Yeni #unitmon web sayfamız üzerinden döküman portalımıza ulaşabilirsiniz. Bizi izlemeye devam edin!… https://t.co/loR2g6YDEu,yeni  web sayfamız üzerinden döküman portalımıza ulaşabilirsiniz. bizi izlemeye devam edin!… ,positive,tr,2
"En son eklenen özelliklerin açıklamaları, güncellemeleri ve üzerinde çalıştığımız hata düzeltmelerinin listesi için… https://t.co/Pho5YaK3Z2","en son eklenen özelliklerin açıklamaları, güncellemeleri ve üzerinde çalıştığımız hata düzeltmelerinin listesi için… ",positive,tr,3
"UNITMON v1.91.0 Yayımlandı! UNITMON'u sizin için daha da iyi bir deneyim haline getirebilmek adına, temel olarak ku… https://t.co/XXRq3cicab","unitmon v1.91.0 yayımlandı! unitmon'u sizin için daha da iyi bir deneyim haline getirebilmek adına, temel olarak ku… ",positive,tr,0
Gençlerimizin #sibergüvenlik dünyasına katkı sağlayacak etkinliklerde yer alması ülkemiz ve sektör adına umut veric… https://t.co/9nfyOJEiZo,gençlerimizin  dünyasına katkı sağlayacak etkinliklerde yer alması ülkemiz ve sektör adına umut veric… ,positive,tr,0
"Blog yazımızda paylaşılan kodun çıktılarını doğru değerlendirerek, firmamızda staj yapma imkanı ve kitap hediyeleri… https://t.co/r5ZMeNXTMD","blog yazımızda paylaşılan kodun çıktılarını doğru değerlendirerek, firmamızda staj yapma imkanı ve kitap hediyeleri… ",negative,tr,6
"Doğru yanıt SİBER GÜVENLİK.Her adımda harfler asal sayılar kadar ötelenmiştir.İlk adımda 2, İkinci adımda 3,Üçüncü… https://t.co/zizIaDZ9Yb","doğru yanıt si̇ber güvenli̇k.her adımda harfler asal sayılar kadar ötelenmiştir.i̇lk adımda 2, i̇kinci adımda 3,üçüncü… ",positive,tr,3
"""Korelasyon Senaryoları – Bölüm II (Sık Sorulan Sorular)"" konulu blog yazımız için lütfen bağlantıyı tıklayınız.… https://t.co/CSfaQYjK5K","""korelasyon senaryoları – bölüm ii (sık sorulan sorular)"" konulu blog yazımız için lütfen bağlantıyı tıklayınız.… ",negative,tr,3
Saklı Yazı nedir? Yanıtlarınızı bekliyoruz... #saklıyazı #zekasoruları #braintraining #mentalgames Katkılarından do… https://t.co/RasrgfwZkl,saklı yazı nedir? yanıtlarınızı bekliyoruz...     katkılarından do… ,positive,tr,7
"""Emotet ve Uygulanabilecek SIEM Kuralları"" konulu blog yazımız için lütfen bağlantıyı tıklayınız.… https://t.co/WLHDfl0wN8","""emotet ve uygulanabilecek siem kuralları"" konulu blog yazımız için lütfen bağlantıyı tıklayınız.… ",positive,tr,3
"CRYPTTECH, @SavunmaSanayii Başkanlığı tarafından 09-10 Şubat tarihlerinde Bolu'da düzenlenen Türkiye Siber Güvenlik… https://t.co/XDsFOhVqPG","crypttech,  başkanlığı tarafından 09-10 şubat tarihlerinde bolu'da düzenlenen türkiye siber güvenlik… ",negative,tr,5
5 Şubat Güvenli İnternet Günü kutlu olsun... #güvenliinternetgünü #Internet #CyberSecurity #siberguvenlik https://t.co/0K3fgWaEnk,5 şubat güvenli i̇nternet günü kutlu olsun...     ,positive,tr,6
"""Operation Sharpshooter ve Uygulanabilecek SIEM Kuralları"" konulu blog yazımız için lütfen bağlantıyı tıklayınız.… https://t.co/TQVOCY3mXb","""operation sharpshooter ve uygulanabilecek siem kuralları"" konulu blog yazımız için lütfen bağlantıyı tıklayınız.… ",positive,tr,3
"""Saldırı Tespit Sistemlerinde Derin Öğrenme Yaklaşımı-2"" konulu blog yazımızdaki kodun çıktılarını doğru değerlendi… https://t.co/QEZItvEJbJ","""saldırı tespit sistemlerinde derin öğrenme yaklaşımı-2"" konulu blog yazımızdaki kodun çıktılarını doğru değerlendi… ",negative,tr,3
"""CRYPTTECH, yapay zekanın savunma sanayii uygulamalarını anlattı"" başlıklı @stendustri'da yayımlanan haberimiz için… https://t.co/an6fS7yZWG","""crypttech, yapay zekanın savunma sanayii uygulamalarını anlattı"" başlıklı  yayımlanan haberimiz için… ",positive,tr,5
"T. C. Cumhurbaşkanlığı @SavunmaSanayii Başkanlığı tarafından, CRYPTTECH Teknoloji Danışmanı Doç. Dr. Berk ÜSTÜNDAĞ'… https://t.co/B4TA57cj6k","t. c. cumhurbaşkanlığı  başkanlığı tarafından, crypttech teknoloji danışmanı doç. dr. berk üstündağ'… ",negative,tr,9
28 Ocak Veri Koruma Günü Kutlu Olsun! #DataPrivacyDay #DataProtectionDay #DataProtection #KVKK #VeriKorumaGünü https://t.co/xg8tWH24oU,28 ocak veri koruma günü kutlu olsun!      ,positive,tr,6
Blog yazımızda paylaşılan kodun çıktılarını doğru değerlendiren ilk 2 kişiye isteği doğrultusunda firmamızda staj i… https://t.co/eeIyw8D8Gp,blog yazımızda paylaşılan kodun çıktılarını doğru değerlendiren ilk 2 kişiye isteği doğrultusunda firmamızda staj i… ,negative,tr,3
"Saldırı Tespit Sistemlerinde Derin Öğrenme Yaklaşımı - 2"" blog yazımız için lütfen bağlantıyı tıklayınız.… https://t.co/INjLriJGQM","saldırı tespit sistemlerinde derin öğrenme yaklaşımı - 2"" blog yazımız için lütfen bağlantıyı tıklayınız.… ",positive,tr,3
"""Saldırı Tespit Sistemlerinde Derin Öğrenme Yaklaşımı - 2"" blog yazımız için lütfen bağlantıyı tıklayınız.… https://t.co/N8VprHUT5c","""saldırı tespit sistemlerinde derin öğrenme yaklaşımı - 2"" blog yazımız için lütfen bağlantıyı tıklayınız.… ",positive,tr,3
"BUSİBER Kış Kampı'nın başarılı bir organizasyonla gerçekleşmesini sağlayan başta @DrBilginMetin'e, @siberkume ve de… https://t.co/lLKzgKCOy9",busi̇ber kış kampı'nın başarılı bir organizasyonla gerçekleşmesini sağlayan başta   ve de… ,positive,tr,9
Çok teşekkür ederiz... @siberkume #sibergüvenlik #CyberSecurity @DeloitteTurkiye #Fast50Turkey18 https://t.co/MSJXDg6B6C,çok teşekkür ederiz...      ,positive,tr,6
CRYPTTECH 2018'de Türkiye'nin en hızlı büyüyen 50 teknoloji şirketinden biri olarak Deloitte Technology Fast50 ödül… https://t.co/ANBUntGG4G,crypttech 2018'de türkiye'nin en hızlı büyüyen 50 teknoloji şirketinden biri olarak deloitte technology fast50 ödül… ,positive,tr,8
Techstar Dergisi Ocak Sayısı CRYPTTECH CTO'su @tkobalas Demeci #bilgigüvenligi #sibergüvenlik #CyberSecurity… https://t.co/ZkuTrApcSz,techstar dergisi ocak sayısı crypttech cto'su  demeci    ,positive,tr,5
Be Aware Your Weakness Before DARKNESS! #unitmon #CyberThreat #vulnerability #virtulization… https://t.co/02aKwkYMex,be aware your weakness before darkness!     ,positive,en,8
Siber Karanlıktan Önce KEŞFET! #unitmon #siberishitbarat #itmonitoring #ITSecurity #CyberThreat #vulnerability… https://t.co/196VTJrPTb,siber karanlıktan önce keşfet!       ,positive,tr,8
"""Miori Zararlı Yazılımı ve Uygulanabilecek SIEM Kuralları"" konulu blog yazımız yayımlanmıştır. Detaylar için lütfen… https://t.co/191wuoOkwa","""miori zararlı yazılımı ve uygulanabilecek siem kuralları"" konulu blog yazımız yayımlanmıştır. detaylar için lütfen… ",negative,tr,3
Next Generation Solutions at Security Information and Event Management #cryptosim #SIEM #securityinformation… https://t.co/rvcGsPoNDb,next generation solutions at security information and event management    ,positive,km,0
Güvenlik Olay ve Kayıt Yönetiminde Yeni Nesil Çözümler #cryptosim #siem #securityinformation #eventmanagement… https://t.co/GS4LaoNzIS,güvenlik olay ve kayıt yönetiminde yeni nesil çözümler     ,positive,tr,5
Mutlu Yıllar... Happy New Year!...  #MutluYıllar #HappyNewYear2019 #Hosgeldin2019 https://t.co/HTo7B4iVcJ,mutlu yıllar... happy new year!...     ,positive,tr,3
"""Korelasyon Senaryoları – Bölüm I"" konulu blog yazımız yayımlanmıştır. https://t.co/r16yKFDREw Detaylar için lütfen… https://t.co/JA530IIwoO","""korelasyon senaryoları – bölüm i"" konulu blog yazımız yayımlanmıştır.  detaylar için lütfen… ",negative,tr,3
CRYPTOSPOT 2.0.7 Yayımlandı (Released) https://t.co/j044GjAgUa #changelog #cryptospotreleasenotes #facebooklogin… https://t.co/sW9VkRpRSd,cryptospot 2.0.7 yayımlandı (released)     ,negative,tr,7
“GandCrab Fidye Yazılımı ve SIEM Kuralı” konulu blog yazımız yayımlanmıştır: https://t.co/cuF20PvA2A #GandCrab… https://t.co/GXi4bdJq22,“gandcrab fidye yazılımı ve siem kuralı” konulu blog yazımız yayımlanmıştır:   ,negative,tr,3
Siber Güvenlik alanında kendini geliştirmek isteyen gençlerin desteklenmesi amacıyla sponsorları arasında yer aldığ… https://t.co/OMcXQoxonS,siber güvenlik alanında kendini geliştirmek isteyen gençlerin desteklenmesi amacıyla sponsorları arasında yer aldığ… ,negative,tr,2
"Fırat Üniversitesi #sibergüvenlik etkinliğini düzenleyen @SiberKulupler'e, @cypmfu'a, emeği geçen herkese ve tüm ka… https://t.co/QyBqdYJEe1",fırat üniversitesi  etkinliğini düzenleyen   emeği geçen herkese ve tüm ka… ,positive,tr,9
24 Kasım Öğretmenler Günü kutlu olsun... #ogretmenlergunu #24kasimogretmenlergunu https://t.co/SiRBcEAuNh,24 kasım öğretmenler günü kutlu olsun...   ,positive,tr,6
"Kriptoloji Laboratuvarımız tarafından hazırlanan ""Kripto Para Teorisi - Otorite Sorunu (2. Bölüm)"" başlıklı blog ya… https://t.co/ZjDMB8NfGj","kriptoloji laboratuvarımız tarafından hazırlanan ""kripto para teorisi - otorite sorunu (2. bölüm)"" başlıklı blog ya… ",positive,tr,6
İş Geliştirme Direktörümüz &amp; Hukuk Danışmanı @av_omerozer 23 Kasım'da #KVKK sunumu ile Fırat Üniversitesi'inde… https://t.co/o9FZzSmou7,i̇ş geliştirme direktörümüz &amp; hukuk danışmanı  23 kasım'da  sunumu ile fırat üniversitesi'inde… ,positive,tr,5
"Atamızı saygı, özlem ve minnetle anıyoruz... #10Kasim #10Kasım193oo #10Kasim1938 #MustafaKemalATATURK https://t.co/g53N9OxX5O","atamızı saygı, özlem ve minnetle anıyoruz...     ",positive,tr,6
"""Saldırı Tespit Sistemlerinde Derin Öğrenme Yaklaşımı - 1"" konulu blog yazımızı okumak için lütfen bağlantıyı tıkla… https://t.co/CsGtHxQpDN","""saldırı tespit sistemlerinde derin öğrenme yaklaşımı - 1"" konulu blog yazımızı okumak için lütfen bağlantıyı tıkla… ",positive,tr,3
"CRYPTTECH will attend ""Locard Global Cyber Security Summit"" at BTK on 6th November 2018. We are waiting valuable pa… https://t.co/BkX8WZW0Tg","crypttech will attend ""locard global cyber security summit"" at btk on 6th november 2018. we are waiting valuable pa… ",positive,en,7
#SASAD #savunmasanayii #sibergüvenlik #CyberSecurity #yerlivemilliyazılım #crypttech #cybersecurityintelligence… https://t.co/EcF0TsuRKh,       ,positive,unk,0
UNITMON 1.90.1 kararlı versiyonu yayımlanmıştır. UNITMON 1.90.1 stable version is released. https://t.co/whh2WYAl9r… https://t.co/3iuxtZGzK9,unitmon 1.90.1 kararlı versiyonu yayımlanmıştır. unitmon 1.90.1 stable version is released.  ,positive,tr,9
Cumhuriyetimizin 95. Yılını Coşku İle Kutluyoruz... #CumhuriyetBayramı #29EkimCumhuriyetBayramı… https://t.co/pBdVx8AkNd,cumhuriyetimizin 95. yılını coşku i̇le kutluyoruz...   ,positive,tr,2
CRYPTTECH ürünleri artık DMO kataloğunda. #sibergüvenlik #CyberSecurity #cryptosim #unitmon #cryptospot #cryptolog https://t.co/Or12VylvWL,crypttech ürünleri artık dmo kataloğunda.       ,positive,tr,6
CRYPTTECH'ten Enflasyonla Topyekün Mücadele’ye Tam Destek. #TürkiyeKazanacak #EnflasyonlaTopyekünMücadele… https://t.co/VIzKY9m6YI,crypttech'ten enflasyonla topyekün mücadele’ye tam destek.   ,positive,tr,3
"Yerli ürünlerin tercih edilmesinin ülkemizin ekonomisine sağlayacağı katkı bilinciyle CRYPTOSIM, UNITMON, CRYPTOSPO… https://t.co/4cZwaHVXWj","yerli ürünlerin tercih edilmesinin ülkemizin ekonomisine sağlayacağı katkı bilinciyle cryptosim, unitmon, cryptospo… ",negative,tr,9
"New Blog Post on ""Suspicious PowerShell Parameter Substring"". https://t.co/kl9P1j9RAw @burakcayir_cs Çayır #CTZer0… https://t.co/C9NX816KOq","new blog post on ""suspicious powershell parameter substring"".   çayır  ",negative,bg,4
"Teknik Çözümler Müdürümüz @burhancanmaya'nın ""Yeni Nesil #SIEM Çözümü"" konulu sunumu ile yer aldığı, Pixel tarafınd… https://t.co/AqaMctVOMB","teknik çözümler müdürümüz  ""yeni nesil  çözümü"" konulu sunumu ile yer aldığı, pixel tarafınd… ",positive,tr,7
"""Boğaziçi Siber Güvenlik ve KVKK İçin Yerli Çözümler Zirvesi'ndeki CTO'muz @tkobalas ve İş Geliştirme Dir.&amp;Hukuk Da… https://t.co/EBehtYLtDh","""boğaziçi siber güvenlik ve kvkk i̇çin yerli çözümler zirvesi'ndeki cto'muz  ve i̇ş geliştirme dir.&amp;hukuk da… ",positive,tr,5
