id,texts,labels,PREPROCESSED_texts
1516,dogru duzgun calışmıyor sadece saat niyetine alırsınız ,negative,doğru düzgün çalışmıyor sadece saat niyetine alırsınız
1517,ouncak bile değil,negative,oyuncak bile değil
1518,aldığıma pişman oldum.iphone da kullanamıyorum çok denedim kuramadım iade edicem,negative,aldığıma pişman oldum . ıphone da kullanamıyorum çok denedim kuramadım iade edeceğim
1519,telefonla saat arasinda tüm fonksi̇yonlar çalişmiyor ve beklenti̇leri̇ asla karşilamayan bi̇r ürün.,negative,telefonla saat arasında tüm fonksiyonlar çalışıyor ve beklenti̇leri̇ asla karşılamayan bir ürün .
1520,arkadaşlar bluetooth mesafesi 6-8 metre özellikler iyi telefonla net konuşuluyor ekran dokunmatik kullanışlı zorlamadan algılıyor 2 çeşit saat var anolog dijital bikaç özellik için sanırım ek program kullanmak grekecek sanırım ugraşmadım mesafesinden dolayı iade edeceğim,negative,arkadaşlar bluetooth mesafesi 6-8 metre özellikler iyi telefonla net konuşuluyor ekran dokunmatik kullanışlı zorlamadan algılıyor 2 çeşit saat var analog dijital bir kaç özellik için sanırım ek program kullanmak gerekecek sanırım uğraşmadım mesafesinden dolayı iade edeceğim
1521,memnun deği̇li̇m şarjz sikintisi ve fm radyo yok ,negative,memnun deği̇li̇m şarj sıkıntısı ve fm radyo yok
1522,ürün belirtilen özelliklerin hepsine sahip değil termometre barometre yok türkçe dil var ama çeviriler çok komik kişi yerine ısı yazıyor oyuncak bile değil hiç bir işe yaramaz boşuna almayin,negative,ürün belirtilen özelliklerin hepsine sahip değil termometre barometre yok türkçe dil var ama çeviriler çok komik kişi yerine işi yazıyor oyuncak bile değil hiç bir işe yaramaz boşuna almayın
1523,üzerinde ufak tefek delikler vardı. ürünü beğenmedim.,negative,üzerinde ufak tefek delikler vardı . ürünü beğenmedim .
1524,urun çok kalın ve taşınması zor. değişim ile ilgili yardımlarınızı rica ederim.,negative,ürün çok kalın ve taşınması zor . değişim ile ilgili yardımlarınızı rica ederim .
1525,ben aslında kamp matı olarak kullanmak için almıştım. arkadaşımda farklı bir marka vardı çok güzel yumuşak bir dokusu vardı malzemesi çok daha kaliteliydi. malesef bu ürün beklentimi karşılamadı orjinal kamp matları gibi sert bir malzemesi var ,negative,ben aslında kamp matı olarak kullanmak için almıştım . arkadaşımda farklı bir marka vardı çok güzel yumuşak bir kokusu vardı malzemesi çok daha kaliteliydi . maalesef bu ürün beklentimi karşılamadı orjinal kamp matları gibi sert bir malzemesi var
1526,"minder mi alıyoruz strafor köpük mü sünger mi alıyoruz anlayamadım, bahsedildiği gibi değildi o yüzden beğenmedim. fakat kalınlığı güzel. bir de kötü kokuyor.",negative,"minder mi alıyoruz Stratfor köpük mü sünger mi alıyoruz anlayamadım , bahsedildiği gibi değildi o yüzden beğenmedim . fakat kalınlığı güzel . bir de kötü kokuyor ."
1527,"ürünün plastiği kaliteli değil sanırım, günler boyuna çok yoğun şekilde kötü plastik koktu.",negative,"ürünün plastiği kaliteli değil sanırım , günler boyuna çok yoğun şekilde kötü plastik koktu ."
1528,ilandaki rengin çok canlı olmasından dolayı mor renk sipariş vermiştim ancak gelen ürünün ilandakinin rengiyle bir ilgisi yok. çok daha soluk. yine de kullanışlı bir minder,negative,ilandaki rengin çok canlı olmasından dolayı mor renk sipariş vermiştim ancak gelen ürünün ılandakinin rengiyle bir ilgisi yok . çok daha soluk . yine de kullanışlı bir minder
1529,"selam herkese, ",negative,"selam herkese ,"
1530,benim implantım olduğu için faydalı olacağını düşünerek aldım.. aralardaki küçük parçaları çıkarıyormuş.. aynı işlevi dişinizi  fırçaladıktan sonra ağzınızı çalkalayaak da yapabilirsiniz. lüzumsuz bir ürün..bin pişman oldum...,negative,benim implandım olduğu için faydalı olacağını düşünerek aldım . . aralardaki küçük parçaları çıkarıyormuş . . aynı işlevi dişinizi fırçaladıktan sonra ağzınızı çalkalayarak da yapabilirsiniz . lüzumsuz bir ürün . . bin pişman oldum ...
1531,yani çok gerekli değil ,negative,yani çok gerekli değil
1532,tam okumadan aldım. tek yaptığı su fışkırtıyor. bu işi ağzınızı çalkalayarak ta yaparsınız. fırçalama amaçlı almıştım. bunu bilerek alın. fırçalama yapmıyor sadece su fışkırtarak ağzınızdaki yemek kırıntılarını temizliyor.,negative,tam okumadan aldım . tek yaptığı şu fışkırtıyor . bu işi ağzınızı çalkalayarak ta yaparsınız . fırçalamasana amaçlı almıştım . bunu bilerek alın . fırçalamasana yapmıyor sadece şu fışkırtarak ağzınızdaki yemek kırıntılarını temizliyor .
1533,idare eder.,negative,idare eder .
1534,ürünü diş doktorum önermişti ancak kullanınca hayal kırıklığına uğradım. çünkü en yüksek kademedeki su basıncı bile beklediğiniz temizliği yapmakta oldukça yetersiz. bu ürünü almak yerine bir şeyler yedikten hemen sonra ağzını su ile iyice çalkalama alışkanlığı kazansak inanın çok daha iyi bir sonuç elde ederiz. kısacası gördüm ki bu ürün para israfından başka bir şey değil. ,negative,ürünü diş doktorum önermişti ancak kullanınca hayal kırıklığına uğradım . çünkü en yüksek kademedeki su basıncı bile beklediğiniz temizliği yapmakta oldukça yetersiz . bu ürünü almak yerine bir şeyler yedikten hemen sonra ağzını su ile iyice çalkalamasana alışkanlığı kazansak inanın çok daha iyi bir sonuç elde ederiz . kısacası gördüm ki bu ürün para israfından başka bir şey değil .
1535,ürünün iddiası müthiş ancak eski modelin aksine çok düşük güçte olduğu için bir çok kullanıcının da yazdığı gibi anca ağız ıslatıyor. hijyen ürünü olmasa iade etmek isterdim. diğer dezavantajlarını da sayayım ancak bunlar ürüne değil bu tip çözümlere özeldir. ,negative,ürünün iddiası müthiş ancak eski modelin aksine çok düşük güçte olduğu için bir çok kullanıcının da yazdığı gibi anca ağız ıslatıyor . hijyen ürünü olmasa iade etmek isterdim . diğer dezavantajlarını da sayayım ancak bunlar ürüne değil bu tip çözümlere özeldir .
1536,- ürün içine suyla karışık ağız gargarası koyarak kullanıyorsunuz. suyun ısısı bile özellikle de hassas dişlere sahipseniz dişlerinizin kamaşmasına sebep oluyor.,negative,- ürün içine suyla karışık ağız gargarası koyarak kullanıyorsunuz . suyun ısısı bile özellikle de hassas dişlere sahipseniz dişlerinizin kamaşmasına sebep oluyor .
1537,- basınçla diş ve dişeti arasındaki zor ulaşılan yerleri temizlemesi gerekiyor ancak bunun için ciddi bir güç gerekiyor. bu basınç gelmediğinden inanın ağızınızı çalkalasanız çok daha iyi temizlersiniz.  ,negative,- basınçla dış ve dişeti arasındaki zor ulaşılan yerleri temizlemesi gerekiyor ancak bunun için ciddi bir güç gerekiyor . bu basınç gelmediğinden inanın ağızınızı çalkalasanız çok daha iyi temizlersiniz .
1538,tekrar diş fırçalamak gerekiyor sadece diş arasındaki yiyecek kalıntılarını çıkartıyor. aynı işi diş ipide yapıyor. ,negative,tekrar diş fırçalamak gerekiyor sadece dış arasındaki yiyecek kalıntılarını çıkartıyor . aynı işi diş ipi de yapıyor .
1539,diş fırçalarken her tarafa sıçrayan ağız suyuna hiç değinilmemiş. ayna lavabo ve duvarlar hiç hoş görünmüyor. yüzlerce yorumda bunlar yoktu. ben söyleyeyim dedim. çok dikkatli fırçalamak gerekli . ağzınızı açık veya dışarda motorunu çalışır vaziyette tuttuğunuzda her tarafa sıçradığını görürsünüz. eski fırçalarda duvarlara sıçratma diye bir kavram yok.,negative,diş fırçalarken her tarafa sıçrayan ağız suyuna hiç değinilmemiş . ayna lavabo ve duvarlar hiç hoş görünmüyor . yüzlerce yorumda bunlar yoktu . ben söyleyeyim dedim . çok dikkatli fırçalamak gerekli . ağzınızı açık veya dışarıda motorunu çalışır vaziyette tuttuğunuzda her tarafa sıçradığını görürsünüz . eski fırçalarda duvarlara sıçratmasana diye bir kavram yok .
1540,muadili ürünlerin şiddetini bilen biri olarak su şiddetini düşük buldum.i̇şe yarıyor ama etki zayıf,negative,muadili ürünlerin şiddetini bilen biri olarak şu şiddetini düşük buldum . işe yarıyor ama etki zayıf
1541,para israfından başka bişey değil bildiğin çöp.hiçbir işe yaramiyor.sadece etrafı ıslatıyosun.,negative,para israfından başka bir şey değil bildiğin çöp . hiçbir işe yaramıyor . sadece etrafı ıslatıyorsun .
1542,"diş hekimimim tavsiyesiyle aldım. çok etkili olduğunu, diş ipiyle bile çıkmayan artıkları temizleyeceğini söylemişti. hemen sipariş verdik, aynı gün geldi ancak sonuç büyük hayal kırıklığı. ağzınızı (ve beraberinde etrafı) ıslatmaktan başka bir şeye yaradığı söylenemez. önceden kullanan bazı arkadaşlarımızın ""aslında çok güçlü alet, 4,- 5. ayarlara çıkmıyoruz bile"" demesi üzerine arıza olabileceğinden şüphelenip teknik servise götürdük. gri gövdeli eski modelin güçlü olduğunu ancak yeni modelde gücün düşürüldüğünü söylediler. kesinlikle tavsiye etmiyoruz.",negative,"diş hekimimiz tavsiyesiyle aldım . çok etkili olduğunu , diş ipiyle bile çıkmayan artıkları temizleyeceğini söylemişti . hemen sipariş verdik , aynı gün geldi ancak sonuç büyük hayal kırıklığı . ağzınızı ( ve beraberinde etrafı ) ıslatmaktan başka bir şeye yaradığı söylenemez . önceden kullanan bazı arkadaşlarımızın "" aslında çok güçlü alet , 4 , - 5. ayarlara çıkmıyoruz bile "" demesi üzerine arıza olabileceğinden şüphelenip teknik servise götürdük . gri gövdeli eski modelin güçlü olduğunu ancak yeni modelde gücün düşürüldüğünü söylediler . kesinlikle tavsiye etmiyoruz ."
1543,"hayatımda bu kadar kullanışsız bir icat görmedim. o kadar etkisiz ki, kendiniz ağzınızı gargara yapsanız daha iyi daha temiz olur. çocuklarımı teşvik etsin diye aldım ama pişmanım. faydası olmadığı gibi çocuklar kullandığı için banyoda her taraf ıslanıyor. cihazı kullandığım için iade edemiyorum. elimde olsa hemen geri gönderirdim. oral -b nin diş fırçalarından bende çok memnunum ama bu lüzumsuz şeyi sakın almayın.    ",negative,"hayatımda bu kadar kullanışsız bir icat görmedim . o kadar etkisiz ki , kendiniz ağzınızı gargara yapsanız daha iyi daha temiz olur . çocuklarımı teşvik etsin diye aldım ama pişmanım . faydası olmadığı gibi çocuklar kullandığı için banyoda her taraf ıslanıyor . cihazı kullandığım için iade edemiyorum . elimde olsa hemen geri gönderirdim . oral - bnin dış fırçalarından bende çok memnunum ama bu lüzumsuz şeyi sakın almayın ."
1544,"doktor tavsiyesi uzerine aldim ama beklentimi karsilamadi, discilerde bulunan urunun yanindan bile gecemez.emin olun gargara yapmakla ayni ozelligi taşıyor eger kendi basiniza gargara yapamiyorsaniz alin derim.",negative,"doktor tavsiyesi üzerine aldım ama beklentimi karşılamadı , dişçilerde bulunan ürünün yanından bile geçemez . emin olun gargara yapmakla aynı özelliği taşıyor eğer kendi başınıza gargara yapamıyorsanız alın derim ."
1545,ürünü yeni aldım. açıkçası diş taşı temizlemesini bekliyordum .beklentimi karşılamadı. sadece su fışkırtıyor .diş ipi yerine kullanılabilir gelişmiş bir alet oyüzden geri iade ile uğraşmıyacağım .fakat beklentimi karşılayamadı.,negative,ürünü yeni aldım . açıkçası diş taşı temizlemesini bekliyordum . beklentimi karşılamadı . sadece şu fışkırtıyor . diş ipi yerine kullanılabilir gelişmiş bir alet o yüzden geri iade ile uğraşmayacağım . fakat beklentimi karşılayamadı .
1546,kargo bedava olunca kargoda günlerce teslimatı bekledi. şikayet etmemize rağmen bir iyileşme olmadı. si̇parişi şimdi verin hemen kargoda diyorlar ancak ürün kargoda günlerce bekliyor. ,negative,kargo bedava olunca kargoda günlerce teslimatı bekledi . şikayet etmemize rağmen bir iyileşme olmadı . siparişi şimdi verin hemen kargoda diyorlar ancak ürün kargoda günlerce bekliyor .
1547,oral b nin şarjlı diş fırçasını kullanmıyorum.i̇lave olarak bunu aldım.öncelikle dişleriniz sık yapıda ise benimki gibi çok bir işe yaramıyor.diş ipinin ise yerini tutması mümkün değil.çok birşey beklemeyin.en iyisi birden çok başlık türü ile dişleri fırçalamak ve gargara kullanmak..,negative,oral bnin şarjlı diş fırçasını kullanmıyorum . ilave olarak bunu aldım . öncelikle dişleriniz sık yapıda ise benimki gibi çok bir işe yaramıyor . diş ipinin ise yerini tutması mümkün değil . çok bir şey beklemeyin . en iyisi birden çok başlık türü ile dişleri fırçalamak ve gargara kullanmak . .
1548,ben aldıktan sonra fiyatıda düstü...tamam para eden bir sey degil ama agız bakım suyu hediye yazıyor ama malesef gönderilmiyor aldatmaca var gibi gibi  .......,negative,ben aldıktan sonra fiyatı da düştü ... tamam para eden bir şey değil ama ağız bakım suyu hediye yazıyor ama maalesef gönderilmiyor aldatmaca var gibi gibi ... ... .
1549,ürünü 1 haftadır kullanıyorum. çok etkisiz ve gereksiz. bunun yerine çok daha ucuz olan ve direkt musluğa bağlanan daha etkili ürünler var. tavsiye etmiyorum.,negative,ürünü 1 haftadır kullanıyorum . çok etkisiz ve gereksiz . bunun yerine çok daha ucuz olan ve direkt musluğa bağlanan daha etkili ürünler var . tavsiye etmiyorum .
1550,çok sıradan bir aşk hikayesi. çok etkileyici olduğunu söyleyemem. kitap hakkında bilginiz olması içi okunabilir,negative,çok sıradan bir aşk hikayesi . çok etkileyici olduğunu söyleyemem . kitap hakkında bilginiz olması içi okunabilir
1551,kitap baslangic olarak merak uyandirici fakat ikinci kisimda yogun betimlemeler ayrintilar beni biraz rahatsiz etti acikcasi.yorumlara bakip almistim.bence fazla puan alan bir kitap..,negative,kitap başlangıç olarak merak uyandırıcı fakat ikinci kısımda yoğun betimlemeler ayrıntılar beni biraz rahatsız etti açıkçası . yorumlara bakıp almıştım . bence fazla puan alan bir kitap . .
1552,kitabın konusu aslında güzel . özelliklede o dönemlerde böylesi bir aşk o döneme gidersek böylesi bir kurgu başarılı.fakat bu yazarın okuduğum ilk kitabıydı uslübü anlatımı çok sıkıcıydı konuyu çok ağır işledi üstelik çok fazla eski türkçe  kelimeler olduğu için bence yorucu .,negative,kitabın konusu aslında güzel . özellikle de o dönemlerde böylesi bir aşk o döneme gidersek böylesi bir kurgu başarılı . fakat bu yazarın okuduğum ilk kitabıydı üslubu anlatımı çok sıkıcıydı konuyu çok ağır işledi üstelik çok fazla eski türkçe kelimeler olduğu için bence yorucu .
1553,klasik türk dizisi  filmi bence alıp ta zaman kaybetmeyin derim. haaa ben aşk adamıyım diyorsanız o ayrı ahh maria vah maria der durursynuz kitap sonunda ozaman :(),negative,klasik türk dizisi filmi bence alıp ta zaman kaybetmeyin derim . aaa ben aşk adamıyım diyorsanız o ayrı aah maria vah maria der durursunuz kitap sonunda o zaman :( )
1554,kalın bir kitap olmamasına rağmen insanın bitiresi gelmiyor. inanılmaz sıkıcı ve sürekli aynı şeylerden bahsediyor. aynı ruh hali. karamsarlık had safhada. ,negative,kalın bir kitap olmamasına rağmen insanın bitiresi gelmiyor . inanılmaz sıkıcı ve sürekli aynı şeylerden bahsediyoruz . aynı ruh hali . karamsarlık had safhada .
1555,kitap konu olarak güzel ancak koku olarak kötü.yani kullandıkları kağıt daha önce nerede kullanılmışsa çok kötü kokuyordu ve buram buram yüzüme vuruyordu.şahsen kitaba deodorant sıkıp okudum ama o bile kar etmedi.,negative,kitap konu olarak güzel ancak kökü olarak kötü . yani kullandıkları kağıt daha önce nerede kullanılmışsa çok kötü kokuyordu ve buram buram yüzüme vuruyordu . şahsen kitaba deodorant sıkıp okudum ama o bile kar etmedi .
1556,"klasik türk filmi. türkan şoray ,ediz hun aşkı yani.illahhi okunması gerekiyor diyemem.yorumlari okuyarak almıştım. pişman oldum.tabi kitap zevkleri tartışılmaz oda aynı bir konu.",negative,"klasik türk filmi . türkan şoray , ediz hun aşkı yani . illahhi okunması gerekiyor diyemem . yorumları okuyarak almıştım . pişman oldum . tabii kitap zevkleri tartışılmaz oda aynı bir konu ."
1557,kitabı yorumlara bakmaksızın isminden dolayı merak ederek aldım ( kitapçıdan). ancak beklediğim kadar iyi değildi. basit bir olay örgüsü var.,negative,kitabı yorumlara bakmadan isminden dolayı merak ederek aldım ( kitapçıdan ) . ancak beklediğim kadar iyi değildi . basit bir olay örgüsü var .
1558,yazarın bir kitabını ilk defa okumaya çalışıyorum. şimdiye kadar beğenmedim desem yeri olur. sıkıcı giden zor anlaşılan bir dili var yazarın. ben tarzını beğenmedim.,negative,yazarın bir kitabını ilk defa okumaya çalışıyorum . şimdiye kadar beğenmedim desem yeri olur . sıkıcı giden zor anlaşılan bir dili var yazarın . ben tarzını beğenmedim .
1559,valla kitabı okadar masala bogmuşki yazar masal ile gerçeği ayırt edebilenlere demiş. ben ayırt edemedim. birbirinden kopuk olaylar.. ben beğenmedim.,negative,valla kitabı o kadar masala bogmuşki yazar masal ile gerçeği ayırt edebilenlere demiş . ben ayırt edemedim . birbirinden kopuk olaylar . . ben beğenmedim .
1560,yazarın ilk kez bir kitabını aldım .yeni başladım okumaya merak ediyorum ..,negative,yazarın ilk kez bir kitabını aldım . yeni başladım okumaya merak ediyorum . .
1561,ürün fiyatı olarak güzel fakat yanında gelen bantları yapıştırmadan iphone 5s telefonumu sabitliyemedim. fakat alırken dikkatle okumama rağmen kumandanın ios u desteklemesiği bilgisini görmedim ürünü aldıktan sonra internette araştırdım ve kumandası sadece android içinmiş. ,negative,ürün fiyatı olarak güzel fakat yanında gelen bantları yapıştırmadan ıphone 5s telefonumu sabitleyemedim . fakat alırken dikkatle okumama rağmen kumandanın ios u desteklemesini bilgisini görmedim ürünü aldıktan sonra internetten araştırdım ve kumandası sadece android içinmiş .
1562,"f/p olarak güzel bir ürün ancak beklentiniz çok olmasın alın, deneyin, kenara koyun arada kullanırsınız bağımlılık yapıcı bir tarafı yok onun için ps vr veya oculus rift kullanmanız gerek. yüksek ppi'lı ve 5 inç üzeri telefonlar ile kullanırsanız zevk verici olabilir iphone için çok uygun değil.",negative,"f / p olarak güzel bir ürün ancak beklentiniz çok olmasın alın , deneyin , kenara koyun arada kullanırsınız bağımlılık yapıcı bir tarafı yok onun için ps var veya oculus rift kullanmanız gerek . yüksek ppi'lı ve 5 inç üzeri telefonlar ile kullanırsanız zevk verici olabilir ıphone için çok uygun değil ."
1563,beklentimin altında,negative,beklentimin altında
1564,malzeme kalitesi çok düşük.sadece böyle bir cihaz nasıl diye merak ettim.gercek kullanıcılar almasın.,negative,malzeme kalitesi çok düşük . sadece böyle bir cihaz nasıl diye merak ettim . gerçek kullanıcılar almasın .
1565,"ben beğenmedim o kadar güzel değil , idare eder.",negative,"ben beğenmedim o kadar güzel değil , idare eder ."
1566,kuman'da çok kötü ,negative,kumanda çok kötü
1567,asus zenfone 3 kullanıyorum kavis olduğundan tlf oturmuyor.... ürün kumandası takılma yapıyor üst joyistiği sağ yapıyorum sağda kalıyor yukarı yapıyorum orda  takılıyor. ilk defa boş yere para verdim.... kaldırdım attım kenara ...,negative,asus zenfone 3 kullanıyorum kavis olduğundan tlf oturmuyor ... . ürün kumandası takılma yapıyor üst joyistiği sağ yapıyorum sağda kalıyor yukarı yapıyorum orada takılıyor . ilk defa boş yere para verdim ... . kaldırdım attım kenara ...
1568,kumandası beklentiye cevap veremiyor tuslari tutukluk yapıyor .fiyatina gore idare eder.,negative,kumandası beklentiye cevap veremiyor tuşları tutukluk yapıyor . fiyatına göre idare eder .
1569,hepsi buradaya hızlı teslimat için teşekkürler. 4.5 inc küçük geldi çokta bir albenisi yok.. kafa ağrısı yapıyor,negative,hepsiburadaya hızlı teslimat için teşekkürler . 4.5 inç küçük geldi çokta bir albenisi yok . . kafa ağrısı yapıyor
1570,ürün fena degil iş görür ama beklentiyi yüksek tutmayın  ne kadar ekmek o kadar köfte ,negative,ürün fena değil iş görür ama beklentiyi yüksek tutmayın ne kadar ekmek o kadar köfte
1571,"kutuyu açıp i̇lk denememde telefonu sabitleme yerinin üst  kısmı kırıldı,  tamam fiyat ucuz ama  bu kadarmi kalitesiz olur. alan arkadaşlar dikkatli olsun ",negative,"kutuyu açıp ilk denememde telefonu sabitleme yerinin üst kısmı kırıldı , tamam fiyat ucuz ama bu kadar mı kalitesiz olur . alan arkadaşlar dikkatli olsun"
1572,ürün çok kötü.yani bu paraya bu kadar olur heralde.2 dakika video izledim gözlerimi çok ağrıttı.hiç o heyecanı vermiyor.bence fiyasko.direk geri iade ediyorum.alan arkadaşlar ona göre alsın.daha kaliteli cihazlar alınabilir.,negative,ürün çok kötü . yani bu paraya bu kadar olur heralde . 2 dakika video izledim gözlerimi çok ağrıttı . hiç o heyecanı vermiyor . bence fiyasko . direk geri iade ediyorum . alan arkadaşlar ona göre alsın . daha kaliteli cihazlar alınabilir .
1573,deneme amaçlı aldığım için çok önem vermedim temizleme bezi ve kullanım kılavuzu çıkmadı içerisinden. ,negative,deneme amaçlı aldığım için çok önem vermedim temizleme bezi ve kullanım kılavuzu çıkmadı içerisinden .
1574,5 inç vestel venus 5570 telefonum zor sığdı içine 6 inç nasıl sığacak merak konusu.. ,negative,5 inç vestel venus 5570 telefonum zor sığdı içine 6 inç nasıl sığacak merak konusu . .
1575,hızlı teslimat için teşekkürler hepsiburadaya.,negative,hızlı teslimat için teşekkürler hepsiburadaya .
1576,ürün çok kötü.hepsiburadanın iade ve para iade süreci mükemmel derecede hızlı.teşekkürler.,negative,ürün çok kötü . hepsiburadanın iade ve para iade süreci mükemmel derecede hızlı . teşekkürler .
1577,beklentimi karsıladı,negative,beklentimi karşıladı
1578,kendi katagorisinde fena değil,negative,kendi kategorisinde fena değil
1579,fena değil o kadar,negative,fena değil o kadar
1580,fena değil,negative,fena değil
1581,nispeten kalın telefonlarla (koruyucu kaplarla özellikle) sıkıntı yaşanır.,negative,nispeten kalın telefonlarla ( koruyucu kaplarla özellikle ) sıkıntı yaşanır .
1582,malzeme ve görüntü kalitesiz. merceklerin uzaklıklarını ayarlamak çok zor ve sürgüsünün malzemesi kötü. burun kısmı sert malzeme. merceklerden dolayı görüntü kalitesizliğinden gerçeklik sanısı vermiyor. sanal gerçekliği denemek istiyorsanız bu fiyata değmez. bu kadar fiyata karşılık gelen kalite oranı sebebiyle tek yıldızı bile hak etmiyor. ,negative,malzeme ve görüntü kalitesiz . merceklerin uzaklıklarını ayarlamak çok zor ve sürgüsünün malzemesi kötü . burun kısmı sert malzeme . merceklerden dolayı görüntü kalitesizliğinden gerçeklik sanısı vermiyor . sanal gerçekliği denemek istiyorsanız bu fiyata değmez . bu kadar fiyata karşılık gelen kalite oranı sebebiyle tek yıldızı bile hak etmiyor .
1583,"artıları: fiyatı, kumandası ve gözlüğü taktığınızdaki rahatlığı.",negative,"artıları : fiyatı , kumandası ve gözlüğü taktığınızdaki rahatlığı ."
1584,eksileri: lens ayar mekanizmasının kalitesizliği.,negative,eksileri : lens ayar mekanizmasının kalitesizliği .
1585,"ürünü zaten çok fazla beklentim olmadan almıştım, o yüzden geçmeli plastik parçaların bir kısmının doğru monte edilmemiş olmasını (kamerayı kullanmak için kullanılan ön taraftaki kayan parça ve beyaz çerçeve gibi görünen parçalar yerlerinde değillerdi) hiç dert etmedim. kullanımda ise büyük bir sıkıntı ile karşılaştım; lensleri ayarlamanızı sağlayan mekanizma o kadar kalitesiz ki kafamı sağa sola çevirdiğimde lensler de sağa sola hareket ediyordu. mekanizmayı elimle tutarak kullandığımda ise sol gözümün bulanık gördüğünü fark ettim; biraz incelediğimde de, bu bulanıklığın sol taraftaki lensin telefona paralel olmayıp, lensin alt tarafının üst tarafına kıyasla telefona daha yakın olması nedeniyle oluştuğunu anladım. gözlüğün ön tarafındaki tüm parçaları söktüğümde ise lensi telefon düzlemine paralel tutmak için küçük bir tırnak olduğunu, ancak lensin ileri geri hareketleri ile kolaylıka tırnağı aşıp bulanık gösterdiğini gördüm. bant yapıştırarak hem tırnağı hem de lensi tutan yuvayı kalınlastırıp lensin hareket etmesini ve tırnağı aşmasını engellemeye calıştıysam da elde ettiğim sonuç düzgün üretilmiş bir ürün ile elde edebileceğim kadar iyi olmadı. ",negative,"ürünü zaten çok fazla beklentim olmadan almıştım , o yüzden geçmeli plastik parçaların bir kısmının doğru monte edilmemiş olmasını ( kamerayı kullanmak için kullanılan ön taraftaki kayan parça ve beyaz çerçeve gibi görünen parçalar yerlerinde değillerdi ) hiç dert etmedim . kullanımda ise büyük bir sıkıntı ile karşılaştım ; lensleri ayarlamanızı sağlayan mekanizma o kadar kalitesiz ki kafamı sağa sola çevirdiğimde lensler de sağa sola hareket ediyordu . mekanizmayı elimle tutarak kullandığımda ise sol gözümün bulanık gördüğünü fark ettim ; biraz incelediğimde de , bu bulanıklığın sol taraftaki lensin telefona paralel olmayıp , lensin alt tarafının üst tarafına kıyasla telefona daha yakın olması nedeniyle oluştuğunu anladım . gözlüğün ön tarafındaki tüm parçaları söktüğümde ise lensi telefon düzlemine paralel tutmak için küçük bir tırnak olduğunu , ancak lensin ileri geri hareketleri ile kolaylıkla tırnağı aşıp bulanık gösterdiğini gördüm . bant yapıştırarak hem tırnağı hem de lensi tutan yuvayı kalınlaştırıp lensin hareket etmesini ve tırnağı aşmasını engellemeye çalıştıysam da elde ettiğim sonuç düzgün üretilmiş bir ürün ile elde edebileceğim kadar iyi olmadı ."
1586,gözlük gayet iyi kullanışlı,negative,gözlük gayet iyi kullanışlı
1587,fakat bir kaç dakika da gözlerim inanılmaz ağrıdı,negative,fakat bir kaç dakika da gözlerim inanılmaz ağrıdı
1588,sebebini bilemiyorum belki merceklerinde sıkıntı olabilir vs,negative,sebebini bilemiyorum belki merceklerinde sıkıntı olabilir vs
1589,arkadaşlar aşırı meraklıysanız alın bir bakın ama sürekli kullanırım diye düşünmeyin hiç kaliteli bir ürün değil ve görüntü iyide değil ayrıca vr içerik çok az,negative,arkadaşlar aşırı meraklıysanız alın bir bakın ama sürekli kullanırım diye düşünmeyin hiç kaliteli bir ürün değil ve görüntü iyide değil ayrıca var içerik çok az
1590,3.5 inç tleefonlar için hiç değil çok küçük geliyor inç ve yukarısı için tavsiye ederim,negative,3.5 inç telefonlar için hiç değil çok küçük geliyor inç ve yukarısı için tavsiye ederim
1591,büyük beklentiye girmeyin pek 3 d  olmuyo  pek iyi deği,negative,büyük beklentiye girmeyin pek 3 d olmuyor pek iyi değil
1592,tatsız,negative,tatsız
1593,hepsiburadadan ürünü uyguna aldım. piyasanın en ucuzuydu. gel gör ki ürün ile sinek kaydıyı zaten bırakın ona yakın bile tıraş olunamıyor. sadece sakal şekillendirirsiniz. favori düzeltirsiniz. sakalınızı daha rahat tıraş olmaya hazır hale getirebilirsiniz. birde çin malı.,negative,hepsiburadadan ürünü uyguna aldım . piyasanın en üçüzüydü . gel gör ki ürün ile sinekkaydıyı zaten bırakın ona yakın bile tıraş olunamıyor . sadece sakal şekillendirirsiniz . favori düzeltirsiniz . şakalınızı daha rahat tıraş olmaya hazır hale getirebilirsiniz . birde çin malı .
1594,üründe görüntülü görüşme yok. ayrıca kendinde bulunan herhangi bir dosyalama sistemi yok. google playden dosyalama sistemi indirilmiş.fiyatına göre idare eder.,negative,üründe görüntülü görüşme yok . ayrıca kendisinde bulunan herhangi bir dosyalama sistemi yok . google Play'ken dosyalama sistemi indirilmiş . fiyatına göre idare eder .
1595,5 günde elime geçti. hd köşeleri el kesecek kadar capakli. hızı güzel. dokunmasan şık duruyor.hb ye teşekkürler.;(,negative,5 günde elime geçti . hd köşeleri el kesecek kadar çapaklı . hızı güzel . dokunulmasan şık duruyor . hb ye teşekkürler . ; (
1596,"ürünü 2 sene önce aldım. başka bir mediaplayere bağlı olarak duruyordu. artık hiç bir şekilde içeriğine ulaşılamıyor, kendi kendine bozuldu.",negative,"ürünü 2 sene önce aldım . başka bir mediaplayere bağlı olarak duruyordu . artık hiç bir şekilde içeriğine ulaşılamıyor , kendi kendine bozuldu ."
