id,texts,labels,PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,KEYWORDS_PREPROCESSED_texts,KEYWORDS_texts
1432,"ürün dikdörtgen bir şekilde tasarlanmış olup, lg g5 telefonların üst kısmında yer alan kavisli yapıya uygun değildir. ayrıca ürün çok kalın ve dokunmatik ekranın hassasiyetini azaltmaktadır. parmak izleri de bariz bir şekilde belli olmaktadır.",negative,ürün dikdörtgen bir şekilde tasarlanmış olup lg g telefonların üst kısmında yer alan kavisli yapıya uygun değildir ayrıca ürün çok kalın ve dokunmatik ekranın hassasiyetini azaldırmaktadır parmak izleri de bariz bir şekilde belli olmaktadır,37,"[('şekilde belli olmaktadır', 9.0), ('ürün dikdörtgen', 4.0), ('kalın', 1.0), ('bariz', 1.0)]","[('şekilde tasarlanmış olup', 9.0), ('şekilde belli olmaktadır', 9.0), ('ürün dikdörtgen', 4.0), ('ayrıca ürün', 4.0), ('parmak izleri', 4.0), ('kalın', 1.0), ('bariz', 1.0)]"
1433,resimdeki gibi göründüğü gibi degil ön kamera ve hopörlör kısmında kesim olur diye bekledim. ama dikdörtgen bi şekilde cikti kutudan.... oldugi gibi parmak izi birakiyor.  bi de çok kalin.,negative,resimdeki gibi göründüğü gibi değil ön kamera ve hoparlör kısmında kesim olur diye bekledim ama dikdörtgen bir şekilde çıktı kutudan olduğu gibi parmak izi bırakıyor bir de çok kalın,26,"[('değil ön kamera', 9.0), ('parmak izi bırakıyor', 9.0), ('resimdeki', 1.0), ('göründüğü', 1.0), ('bekledim', 1.0), ('dikdörtgen', 1.0), ('kalın', 1.0)]","[('degil ön kamera', 9.0), ('parmak izi birakiyor', 9.0), ('resimdeki', 1.0), ('göründüğü', 1.0), ('bekledim', 1.0), ('oldugi', 1.0), ('kalin', 1.0)]"
1434,i̇yi,negative,iyi,0,"[('iyi', 1.0)]","[('i̇yi', 1.0)]"
1435,"almayın arkadaş bu fiyat skalasında yeni ve daha kaliteli telefonlar var.. telefon aşırı ısınıyor .. batarya günü zor cıkarıyor.. yeni çıkan oyunlarda telefon ısınmaktan elle tutulmayacak duruma geliyor.. öyle ki kış ayında bulunduğunuz odayı bile ısıtabilir:)) metal çerçeve telefona sağlamlık vermiş.. boyutları cepte taşımak için ideal.. radrasyon olayı rezalet 5 dk lık konuşmadan sonra baş ağrısı yapıyor , sar değeri yüksek yani.. stabil mi stabil telefon .. ama almayın derim..",negative,almayın arkadaş bu fiyat skalasında yeni ve daha kaliteli telefonlar var telefon aşırı ısınıyor batarya günü zor çıkarıyor yeni çıkan oyunlarda telefon ışınılmaktan elle tutulmayacak duruma geliyor öyle ki kış ayında bulunduğunuz odayı bile ısıtabilir metal çerçeve telefona sağlamlık vermiş boyutları cepte taşımak için ideal radyasyon olayı rezalet dk lık konuşmadan sonra baş ağrısı yapıyor sar değeri yüksek yani stabil mi stabil telefon ama almayın derim,1,"[('fiyat skalasında yeni', 9.0), ('almayın arkadaş', 4.0), ('almayın derim', 4.0)]","[('fiyat skalasında yeni', 9.0), ('kaliteli telefonlar var', 9.0), ('telefon aşırı ısınıyor', 9.0), ('boyutları cepte taşımak', 9.0), ('sar değeri yüksek', 9.0), ('almayın arkadaş', 4.0), ('almayın derim', 4.0), ('öyle', 1.0), ('ideal', 1.0)]"
1436,1000 e yakin fotograf var ve 10 gb yetmiyor  ios ta col sıkbogaz bi isletim sistemi eger muzik hastasiysaninz gotograf paylasmak istiyorsaniz sarji da iyi gitsin istiyorsaniz bunu almayin.,negative,e yakın fotoğraf var ve gb yetmiyor ıos ta çöl sıkboğaz bir işletim sistemi eğer müzik hastasıysanız götoğraf paylaşmak istiyorsanız şarjı da iyi gitsin istiyorsanız bunu almayın,18,"[('iyi gitsin istiyorsanız', 9.0), ('almayın', 1.0)]","[('iyi gitsin istiyorsaniz', 9.0), ('almayin', 1.0)]"
1437,telefon küçük boyutlarda ve i̇i̇şlevsel hizi düşük kamera orta halde ama en i̇yi̇ i̇ş telefonudur bencce güvenli̇ bi̇r telefon hafi̇f zari̇f küçük ,negative,telefon küçük boyutlarda ve i̇i̇şlevsel hızı düşük kamera orta halde ama en i̇yi̇ i̇ş telefonudur bence güvenli bir telefon hafif zarif küçük,40,"[('telefon küçük boyutlarda', 9.0)]","[('telefon küçük boyutlarda', 9.0)]"
1438,bence gereksiz telefon şarj aletini cebinde tasiyacaksan iyi ekran küçük konuşmak için alacaksan iyi ama internet için alacaksan iyi değil,negative,bence gereksiz telefon şarj aletini cebine taşıyacaksan iyi ekran küçük konuşmak için alacaksan iyi ama internet için alacaksan iyi değil,30,"[('alacaksan iyi değil', 8.0), ('alacaksan iyi', 5.0), ('internet', 1.0)]","[('alacaksan iyi değil', 8.0), ('alacaksan iyi', 5.0), ('internet', 1.0)]"
1439,google ios a uzak ara fark atmis durumda.hicbir zaman kendini yenilemeyen kapali kutu olan iphone malesef geride kaldi.satislarina bakarsaniz durumu anlarsiniz.bence inanilmaz gereksiz bir telefon.,negative,google ios a uzak ara fark atmış durumdahicbir zaman kendini yenilemeyen kapalı kutu olan ıphone maalesef geride kaldısatışlarına bakarsanız durumu anlarsınızbence inanılmaz gereksiz bir telefon,3,"[('telefon', 1.0)]","[('bence inanilmaz gereksiz', 9.0), ('telefon', 1.0)]"
1440,valla birader kimse kusura bakmasın ama iphone sadece sade ve şık başka hiç bir artısı yok.arkadaşlar ısınma donma yok diyor da içi boş olduğu için ısınmada donmada olmasın bi zahmet ben iphone çok kullandım çokta severim ama bir yerden sonra sıkıyor serbest olamayınca sıkılıyor insan zamanla,negative,valla birader kimse kusura bakmasın ama ıphone sadece sade ve sık başka hiç bir artısı yokarkadaşlar ısınma donma yok diyor da içi boş olduğu için ısınmada donmada olmasın bir zahmet ben ıphone çok kullandım çokta severim ama bir yerden sonra sıkıyor serbest olamayınca sıkılıyor insan zamanla,24,"[('içi boş olduğu', 9.0), ('ısınmada donmada olmasın', 9.0), ('kullandım çokta severim', 9.0), ('ıphone sadece sade', 8.0), ('sık başka', 4.0), ('ıphone', 2.0), ('zahmet', 1.0)]","[('içi boş olduğu', 9.0), ('kullandım çokta severim', 9.0), ('iphone sadece sade', 8.0), ('şık başka', 4.0), ('artısı yok', 4.0), ('iphone', 2.0)]"
1441,"kurulum yaparken ısınma yaptı,navigasyon çalışırken de ısınma yapıyor. açıkcası hayal kırıklığına uğradım.",negative,kurulum yaparken ısınma yaptınavigasyon çalışırken de ısınma yapıyor açıkçası hayal kırıklığına uğradım,23,[],"[('navigasyon çalışırken', 4.0), ('ısınma yapıyor', 4.0)]"
1442,şebeke çekim gücü ve wifi ağlarına bağlanma konusunda berbat. şarj çok çabuk bitiyor. eşime almıştım ne yazık ki pişmanım. adı-tasarımı ve işlemci hızı iyi.,negative,şebeke çekim gücü ve wifi ağlarına bağlanma konusunda berbat şarj çok çabuk bitiyor eşime almıştım ne yazık ki pişmanım adıtasarımı ve işlemci hızı iyi,49,"[('şebeke çekim gücü', 9.0), ('işlemci hızı iyi', 9.0), ('pişmanım adıtasarımı', 4.0), ('yazık', 1.0)]","[('şebeke çekim gücü', 9.0), ('işlemci hızı iyi', 9.0), ('çabuk bitiyor', 4.0), ('eşime almıştım', 4.0), ('şarj', 1.0), ('yazık', 1.0), ('pişmanım', 1.0), ('adı-tasarımı', 1.0)]"
1443,fiyat ve teslimatı mükemmel teşekkürler,negative,fiyat ve teslimatı mükemmel teşekkürler,18,"[('teslimatı mükemmel teşekkürler', 9.0), ('fiyat', 1.0)]","[('teslimatı mükemmel teşekkürler', 9.0), ('fiyat', 1.0)]"
1444,"kargo ve hizmet  cok iyi . telefona gelince bence bu paraya değmez , iphonenin sadece adı var baska bi işe yaramaz . aynı paraya bundan daha  cok özellikli bi sürü android telefon var . sarj az gidiyor bide ismi icin alıyosanız bisey demem ama özellik diyosanız bence degmezz",negative,kargo ve hizmet çok iyi telefona gelince bence bu paraya değmez ıphonenin sadece adı var başka bir işe yaramaz aynı paraya bundan daha çok özellikli bir sürü android telefon var şarj az gidiyor bide ismi için alıyorsanız bir şey demem ama özellik diyorsanız bence değmez,40,"[('şey demem', 4.0), ('kargo', 1.0), ('hizmet', 1.0), ('özellikli', 1.0), ('alıyorsanız', 1.0)]","[('hizmet cok iyi', 9.0), ('telefona gelince bence', 9.0), ('paraya değmez', 4.0), ('aynı paraya', 4.0), ('kargo', 1.0)]"
1445,hepsi buradadan aldığım ıphone 5 lerde sorun var ekranda sararmalar oluyor ve ayrıca şarj tutmuyor..servise gönderildi müşteri hizmetleride hiç sormasan bilgilendirmiyor....goldtan ıphone 6 ve 6plus kardeşim aldı böyle bir sorun yok her konuda hemen dönüş sağlanıyor...ayrıca servis kullanıcı hatası raporu tutuyor bilginize arkadaşlar.....,negative,hepsiburadadan aldığım ıphonelerde sorun var ekranda sararmalar oluyor ve ayrıca şarj tutmuyorservise gönderildi müşteri hizmetleri de hiç sormasan bilgilendirmiyorgoldtan ıphone ve plus kardeşim aldı böyle bir sorun yok her konuda hemen dönüş sağlanıyorayrıca servis kullanıcı hatası raporu tutuyor bilginize arkadaşlar,17,"[('sormasan bilgilendirmiyorgoldtan ıphone', 9.0), ('sorun yok', 4.0)]","[('ayrıca şarj tutmuyor', 9.0), ('sormasan bilgilendirmiyor', 4.0), ('goldtan ıphone 6', 4.0), ('sorun yok', 4.0)]"
1446,ürün elime geçti yanlız kargo şirketini değiştirseniz iyi olur bence telefonun içinde olduğu kutu su içindeydi ıslanmıştı ama allahtan telefonda sıkıntı olmamıştı.ayrıca herkes yorumlarda 2 gun dıyor ama benimki şanssızlık galiba bi kaç gün beklemek zorunda kaldım ön görülen teslim tarıhini aştı bana gelmesionun dışında telefon iyi sıkıntı yok pıyasaya nazaran fiyatıda iyi ,negative,ürün elime geçti yanlız kargo şirketini değiştirseniz iyi olur bence telefonun içinde olduğu kutu su içindeydi ıslanmıştı ama allahtan telefonda sıkıntı olmamıştıayrıca herkes yorumlarda gün diyor ama benimki şanssızlık galiba bir kaç gün beklemek zorunda kaldım ön görülen teslim tarihini aşti bana gelmesionun dışında telefon iyi sıkıntı yok piyasaya nazaran fiyatı da iyi,31,"[('benimki şanssızlık galiba', 9.0), ('iyi', 1.0)]",[]
1447,ürün tartışmasız çok iyi. fakat kargo sorunlu. aynı gün teslimat istememe rağmen teslimat ertesi gün akşam yapıldı.,negative,ürün tartışmasız çok iyi fakat kargo sorunlu aynı gün teslimat istememe rağmen teslimat ertesi gün akşam yapıldı,48,"[('ürün tartışmasız', 4.0)]","[('fakat kargo sorunlu', 9.0), ('ürün tartışmasız', 4.0), ('iyi', 1.0)]"
1448,arkadaşlar şarjı kötü hiç gitmiyor telefona dokunmaya korkuyorsun bu kapasitede pil  kullanilan cihaz kalmadı öğlene yetmiyor bide yoğun kullanan biriyseniz ama benim için sorun deil markası yeter diyorsanız bilemem tercih farkı,negative,arkadaşlar şarjı kötü hiç gitmiyor telefona dokunmaya korkuyorsun bu kapasitede pil kullanılan cihaz kalmadı oglene yetmiyor bide yoğun kullanan biriyseniz ama benim için sorun değil markası yeter diyorsanız bilemem tercih farkı,29,"[('arkadaşlar şarjı kötü', 9.0)]","[('arkadaşlar şarjı kötü', 9.0)]"
1449,pil gücü çok düşük gün içinde tekrar şarj etmek zorunda ,negative,pil gücü çok düşük gün içinde tekrar şarj etmek zorunda,18,"[('pil gücü', 4.0)]","[('pil gücü', 4.0)]"
1450,kalıyosunuz kargoya da sözde aynı gün verilecekti ama,negative,kalıyorsunuz kargoya da sözde aynı gün verilecekti ama,39,"[('kalıyorsunuz kargoya', 4.0)]","[('kalıyosunuz kargoya', 4.0)]"
1451,3 gün sonra kargoya verildi,negative,gün sonra kargoya verildi,22,[],[]
1452,"ekran küçük,ram yetersiz,cozunurluk az,artırılabilir hafıza yok. i̇yi ozellikleri her telefonda var zaten. sırf marka için bu cihaza1000 lira fazla ödendiğini düşünüyorum.",negative,ekran küçükram yetersizcozunurluk azartırılabilir hafıza yok iyi özelliklerini her telefonda var zaten sırf marka için bu cihaza lira fazla ödendiğini düşünüyorum,15,[],"[('artırılabilir hafıza yok', 9.0), ('telefonda var zaten', 9.0), ('ekran küçük', 4.0), ('ram yetersiz', 4.0), ('cozunurluk az', 4.0), ('i̇yi ozellikleri', 4.0), ('sırf marka', 4.0)]"
1453,apple türkiye garantili yani ithalatçı firma garantili aldanmayın genpa bakmaz ,negative,apple türkiye garantili yani ithalatçı firma garantili aldanmayın genpa bakmaz,24,"[('apple türkiye garantili', 9.0)]","[('apple türkiye garantili', 9.0)]"
1454,selfie kamerası insanı çok düşündürüyor,negative,selfie kamerası insanı çok düşündürüyor,6,"[('selfie kamerası insanı', 9.0), ('düşündürüyor', 1.0)]","[('selfie kamerası insanı', 9.0), ('düşündürüyor', 1.0)]"
1455,"arka yüzün üst kısmına parmak ucuyla hafif tıklamalarda dahi, boşta kalmış parçaların birbiri ile vibrasyona girmesine benzer cızırtı sesleri geliyor. zayıf işçilik kaynaklı sanırım. iadesini istedim bekliyorum. ",negative,arka yüzün üst kısmına parmak ucuyla hafif tıklamalarda dahi boşta kalmış parçaların birbiri ile vibrasyona girmesine benzer cızırtı sesleri geliyor zayıf işçilik kaynaklı sanırım iadesini istedim bekliyorum,12,[],"[('iadesini istedim bekliyorum', 9.0)]"
1456,fiyatına göre daha kaliteli olabilirdi.,negative,fiyatına göre daha kaliteli olabilirdi,21,"[('fiyatına göre', 4.0), ('kaliteli olabilirdi', 4.0)]","[('fiyatına göre', 4.0), ('kaliteli olabilirdi', 4.0)]"
1457,2 haftalık ürün esneme yaptı. tamam ince güzel fakat malzeme kalitesi beklentinin altında .,negative,haftalık ürün esneme yaptı tamam ince güzel fakat malzeme kalitesi beklentinin altında,18,[],[]
1458,"ürünü alalı 3 ay oldu, ürün ilk başlarda sıkı ve tam kavrıyor ama 2 aydan sonra bollaşıyor ve elinizle ufak bi temas etmeniz halinde çıkıyor bendeki üst kısımdan bollaştı  ve çok kaygan bu fiyatı haketmiyor ..",negative,ürünü alalı ay oldu ürün ilk başlarda sıkı ve tam kavrıyor ama aydan sonra bollaşıyor ve elinizle ufak bir temas etmeniz halinde çıkıyor bendeki üst kısımdan bollaştı ve çok kaygan bu fiyatı haketmiyor,43,"[('aydan sonra bollaşıyor', 9.0), ('tam kavrıyor', 4.0), ('elinizle ufak', 4.0), ('fiyatı haketmiyor', 4.0), ('kaygan', 1.0)]","[('tam kavrıyor', 4.0), ('fiyatı haketmiyor', 4.0), ('kaygan', 1.0)]"
1459,zamanla bollaşıyor fiyatını haketmiyor çabuk aşınıyor,negative,zamanla bollaşıyor fiyatını haketmiyor çabuk aşınıyor,28,[],[]
1460,"aldıktan 3-4 ay sonra kılıf şeklini kaybetmeye ve bollaşmaya başladı. aynısından 2-3 arkadaş almıştık, hepsinde aynı sorun oldu. ",negative,aldıktan ay sonra kılıf şeklini kaybetmeye ve bollaşmaya başladı aynısından arkadaş almıştık hepsinde aynı sorun oldu,30,[],"[('bollaşmaya başladı', 4.0)]"
1461,epey pahalı ancak stabil bir ürün değil maalesef...,negative,epey pahalı ancak stabil bir ürün değil maalesef,1,"[('ürün değil maalesef', 9.0)]","[('ürün değil maalesef', 9.0)]"
1462,i̇ phone 6s telefonunuza boş yere almayın kenarları talimatlara göre yapıştırdığım halde boşluk kaldı. paranızı çöpe atmayın.,negative,i̇ phone s telefonunuza boş yere almayın kenarları talimatlara göre yapıştırdığım halde boşluk kaldı paranızı çöpe atmayın,31,[],"[('paranızı çöpe atmayın', 9.0)]"
1463,spigen markasının kılıfları ne kadar iyi ise cam ekran korumaları bir o kadar kötü ürünler..,negative,Spice'n markasının kılıfları ne kadar iyi ise cam ekran korumaları bir o kadar kötü ürünler,27,"[(""spice'n markasının kılıfları"", 9.0), ('cam ekran korumaları', 9.0), ('kadar iyi', 4.0)]","[('spigen markasının kılıfları', 9.0), ('cam ekran korumaları', 9.0), ('kadar iyi', 4.0)]"
1464,camı başka bir yerden aldık. sorunsuz sıkıntısız yapıştırdık. fakat cebimde arabanın anahtarı ile azcık temas etmesi sonucu 3 yerinde kenar kısımlarında küçük küçük cam atmaları oluştu. görüntüsü çirkinleşti ve ürünün koruma işlevine inancım sarsıldı. ,negative,cami başka bir yerden aldık sorunsuz sıkıntısız yapıştırdık fakat cebinde arabanın anahtarı ile azcık temas etmesi sonucu yerinde kenar kısımlarında küçük küçük cam atmaları oluştu görüntüsü çirkinleşti ve ürünün koruma işlevine inancım sarsıldı,4,"[('cami başka', 4.0)]","[('sorunsuz sıkıntısız yapıştırdık', 9.0), ('camı başka', 4.0), ('yerden aldık', 4.0), ('görüntüsü çirkinleşti', 4.0)]"
1465,başka bir ürün arayışına girdim. daha önce 5s telefonumda kullandığım farklı marka camda 3 senenin sonunda en ufak bir sorun sıkıntı olmamıştı. utan spigen!!!,negative,başka bir ürün arayışına girdi daha önce s telefonumda kullandığım farklı marka camdan senenin sonunda en ufak bir sorun sıkıntı olmamıştı utan Spike'n,25,"[('ürün arayışına girdi', 9.0), ('başka', 1.0), ('ufak', 1.0)]","[('ürün arayışına girdim', 9.0), ('sorun sıkıntı olmamıştı', 9.0), ('utan spigen', 4.0), ('başka', 1.0), ('ufak', 1.0)]"
1466,"ürün açıklamasında iphone6s uyumlu olduğu belirtildiği için almıştım. iphone6s ekranları iphone6 ekranlarından daha yuvarlak olduğu için iphone6 camları iphone6s telefonlara uymamakta, camların kenarlarında hava kalmaktadır. bu ürünü kullandığımda da kirlilik olmamasına rağmen yan iki kenarında boylu boyunca hava kaldı. ayrıca filmin ortasında da bir küçük bölgede hava kaldı. genel olarak ürünün kalitesinden memnun değilim. bu ürün kesinlikle iphone6s uyumlu değildir.",negative,ürün açıklamasında iphones uyumlu olduğu belirtildiği için almıştım iphones ekranları ıphone ekranlarından daha yuvarlak olduğu için ıphone camları iphones telefonlara uymamakta camların kenarlarında hava kalmaktadır bu ürünü kullandığımda da kirlilik olmamasına rağmen yan iki kenarında boylu boyunca hava kaldı ayrıca filmin ortasında da bir küçük bölgede hava kaldı genel olarak ürünün kalitesinden memnun değilim bu ürün kesinlikle iphones uyumlu değildir,12,"[('yuvarlak olduğu', 4.0), ('ürünü kullandığımda', 4.0)]","[('ayrıca filmin ortasında', 9.0), ('yuvarlak olduğu', 4.0), ('ürünü kullandığımda', 4.0), ('almıştım', 1.0)]"
1467,"i̇lk defa denedim. çok beğendim diyemem. yıllardır normal lipton kullanıyorum, bence klasik lipton daha iyi. bu üründen daha pahalı olmasına rağmen pek farklı bir özellik ve tat alamadım. tavsiye edemeyeceğim, tekrar alacağımı hiç sanmıyorum.",negative,ilk defa denedim çok beğendim diyemem yıllardır normal lipton kullanıyorum bence klasik lipton daha iyi bu üründen daha pahalı olmasına rağmen pek farklı bir özellik ve tat alamadım tavsiye edemeyeceğim tekrar alacağımı hiç sanmıyorum,48,"[('ilk', 1.0), ('denedim', 1.0), ('iyi', 1.0), ('üründen', 1.0), ('özellik', 1.0), ('sanmıyorum', 1.0)]","[('bence klasik lipton', 9.0), ('beğendim diyemem', 4.0), ('tat alamadım', 4.0), ('tavsiye edemeyeceğim', 4.0), ('tekrar alacağımı', 4.0), ('i̇lk', 1.0), ('denedim', 1.0), ('iyi', 1.0), ('üründen', 1.0), ('özellik', 1.0)]"
1468,şu anda kargoda olan ürün ve daha almaya gitmedim ve de aradım içindeki ürün kırık ve tamamıyla boşalmış olduğunu söylendi... ya problem sizde yada kargoda...en kısa sürede ilgilenirseniz sevinirim ben daha kargoya gitmeidm.. kırık olduğunu öğrenince artık alışveriş yapmak istemiyorum bu son olur artık,negative,şu anda kargoda olan ürün ve daha almaya gitmedim ve de aradım içindeki ürün kırık ve tamamıyla boşalmış olduğunu söylendi ya problem sizde yada kargodan kısa sürede ilgilenirseniz sevinirim ben daha kargoya gitmedim kırık olduğunu öğrenince artık alışveriş yapmak istemiyorum bu son olur artık,32,"[('son olur artık', 9.0), ('almaya gitmedim', 4.0)]","[('son olur artık', 9.0), ('almaya gitmedim', 4.0), ('kargoya gitmeidm', 4.0)]"
1469,köpüklü üçü birarada içmek isteyen alsın.,negative,köpüklü üçü birarada içmek isteyen alsın,45,[],[]
1470,köpük 30 saniye sonra kayboluyor ama...,negative,köpük saniye sonra kayboluyor ama,16,[],[]
1471,"dışarıda içtiğiniz  basit makine kahvelerinden daha basit bir tadım sunuyor. ekonomik bir kahve kullanımı var ama her bardakta su tadı ağır basıyor. pratik , kullanımı kolay ancak istediğim tat değil. i̇ade ettim . bu arada iade sürecinde hiç sorun çıkarmayan ve hatta destek olan hepsiburada.com a teşekkürler ..  ",negative,dışarıda içtiğiniz basit makine kahvelerinden daha basit bir tadım sunuyor ekonomik bir kahve kullanımı var ama her bardakta su tadı ağır basıyor pratik kullanımı kolay ancak istediğim tat değil ifade ettim bu arada iade sürecinde hiç sorun çıkarmayan ve hatta destek olan Hepsiburada'cım a teşekkürler,31,"[('tadım sunuyor ekonomik', 9.0), ('kahve kullanımı var', 9.0), ('arada iade sürecinde', 9.0), ('sorun çıkarmayan', 4.0), ('basit', 1.0)]","[('kahve kullanımı var', 9.0), ('arada iade sürecinde', 9.0), ('com a teşekkürler', 9.0), ('tadım sunuyor', 4.0), ('i̇ade ettim', 4.0), ('sorun çıkarmayan', 4.0), ('basit', 1.0), ('ekonomik', 1.0), ('pratik', 1.0)]"
1472,"sadece hazırlamada kolaylık,extra bir özelliği yok ve kendi hazırladığınız kahveden hiçbir farkı yok.şeker koyulamıyor.kahve makinesinde ekol tchibo markadır.bu ürünü satın almadan,tchibonun kapsüllü kahve makinelerini de inceleyin derim.kapsül temini için internet kampanyası bekleme sorunu dışında tchibo çok daha mantıklıdır.",negative,sadece hazırlamada kolaylıkextra bir özelliği yok ve kendi hazırladığınız kahveden hiçbir farkı yokşeker koyulamıyorkahve makinesinde ekol tchibo markadırbu ürünü satın almadantchibonun kapsüllü kahve makinelerini de inceleyin derimkapsül temini için internet kampanyası bekleme sorunu dışında tchibo çok daha mantıklıdır,19,"[('sadece hazırlamada kolaylıkextra', 9.0), ('inceleyin derimkapsül temini', 9.0), ('özelliği yok', 4.0), ('mantıklıdır', 1.0)]","[('sadece hazırlamada kolaylık', 9.0), ('ürünü satın almadan', 9.0), ('özelliği yok', 4.0), ('şeker koyulamıyor', 4.0), ('inceleyin derim', 4.0), ('kapsül temini', 4.0), ('extra', 1.0), ('mantıklıdır', 1.0)]"
1473,makina öğle aham şaham bir şey degil  iyi ama süt konduğu zaman fazla sıcak olmuyor sıcaklık haricinde sorun yok  sütsüz olanlar kayet sıcak oluyor ,negative,makina öğle ahım şahım bir şey değil iyi ama süt konduğu zaman fazla sıcak olmuyor sıcaklık haricinde sorun yok sütsüz olanlar gayet sıcak oluyor,47,"[('şey değil iyi', 9.0)]","[('şey degil iyi', 9.0)]"
1474,makinada ne süt nede şeker bölümü var ve makinaya su ve kahveden başka bişey koyulmuyor köpürmüş kahveyide sonradan şekerle karıştıramıyoruz e ne yapıcaz o zaman hep acı espresso tadında kahveler mi içicez anlamadım? ben kahve bölümüne süt ve şeker de koyuyorum,negative,makinada ne süt nede şeker bölümü var ve makinaya su ve kahveden başka bir şey koyulmuyor köpürmüş kahveyi de sonradan şekerle karıştıramıyoruz e ne yapacağız o zaman hep acı espresso tadında kahveler mi içeceğiz anlamadım ben kahve bölümüne süt ve şeker de koyuyorum,9,"[('yapacağız o zaman', 9.0), ('kahve bölümüne süt', 9.0), ('makinaya su', 4.0), ('kahveden başka', 4.0), ('makinada', 1.0), ('şeker', 1.0), ('koyuyorum', 1.0)]","[('yapıcaz o zaman', 9.0), ('kahve bölümüne süt', 9.0), ('makinaya su', 4.0), ('makinada', 1.0), ('şeker', 1.0), ('koyuyorum', 1.0)]"
1475,"su ısıtıp,süt köpürtüp üzerine kahve döken bir makina.",negative,şu ısıtıpsüt köpürtüp üzerine kahve döken bir makina,9,"[('makina', 1.0)]","[('su ısıtıp', 4.0), ('makina', 1.0)]"
1476,"nest cafe gibi instant cafe kullanıyorsanız , makina almaya gerek yok zaten.... bunları ellede rahatlıkla yapabilirsiniz . .üstelik makina temizleme derdinizde olmaz",negative,nest cafe gibi instant cafe kullanıyorsanız makina almaya gerek yok zaten bunları elle de rahatlıkla yapabilirsiniz üstelik makina temizleme derdinizde olmaz,1,"[('nest cafe', 4.0)]","[('instant cafe kullanıyorsanız', 8.5), ('nest cafe', 4.5)]"
1477,"başka biryerden indirimde almıştım, kapiçino dışındaki kahveleri ciddi acı yapıyor. şekerli içiyorsanız sorun yok. kapsüle bağımlı olmaması avantajı. sonuçta 9.90 a bir kavanoz kahve koyup 20 tane starbucks kadar köpürmüş kahve veya latte yapmak için bile yeterli.",negative,başka biryerden indirimde almıştım kapuçino dışındaki kahveleri ciddi açı yapıyor şekerli içiyorsanız sorun yok kapsüle bağımlı olmaması avantajı sonuçta a bir kavanoz kahve koyup tane starbucks kadar köpürmüş kahve veya latte yapmak için bile yeterli,29,"[('latte yapmak', 4.0), ('bile yeterli', 4.0)]","[('latte yapmak', 4.0), ('bile yeterli', 4.0), ('sonuçta 9', 1.0), ('90 a', 1.0)]"
1478,benim gibi kahvesini yüksek sıcaklıkta seven biri için buz gibi bir kahve yapıyor. su ısıtma mekanizması daha iyi yapılabilirdi. bağzı arkadaşların dediği gibi su haznesi biraz ufak. 2 / 3 fincanda bir su ilave etmek gerekiyor. ama gerçekten pratik bir alet . sabah kalktığınızda 1dk içinde kahve fincanınız elinizde.,negative,benim gibi kahvesini yüksek sıcaklıkta seven biri için buz gibi bir kahve yapıyor su ısıtma mekanizması daha iyi yapılabilirdi bazı arkadaşların dediği gibi su haznesi biraz ufak fincanda bir su ilave etmek gerekiyor ama gerçekten pratik bir alet sabah kalktığınızda dk içinde kahve fincanınız elinizde,18,"[('gerçekten pratik', 4.0), ('buz', 1.0)]","[('su ısıtma mekanizması', 9.0), ('bağzı arkadaşların dediği', 9.0), ('kahve yapıyor', 4.0), ('iyi yapılabilirdi', 4.0), ('gerçekten pratik', 4.0), ('buz', 1.0), ('alet', 1.0)]"
1479,kovalı bir set alın daha iyi,negative,kovalı bir set alın daha iyi,37,"[('set alın', 4.0), ('kovalı', 1.0), ('iyi', 1.0)]","[('set alın', 4.0), ('kovalı', 1.0), ('iyi', 1.0)]"
1480,çok tatlı bir sos. o tütsü tadını alamadım. beklentimin çok altında.,negative,çok tatlı bir sos o tütsü tadını alamadım beklentimin çok altında,7,"[('tatlı', 1.0), ('altında', 1.0)]","[('tatlı', 1.0), ('sos', 1.0), ('beklentimin', 1.0), ('altında', 1.0)]"
1481,ürün çok kötü kullanımı kolay değil ayrıca tozu çekmiyor aksine bırakıyor tavsiye etmem,negative,ürün çok kötü kullanımı kolay değil ayrıca toz çekmiyor kesin bırakıyor tavsiye etmem,42,"[('ürün', 1.0)]","[('ürün', 1.0)]"
1482,eh fena değil,negative,eh fena değil,26,"[('eh fena değil', 9.0)]","[('eh fena değil', 9.0)]"
1483,alacağım ama biraz tereddüt ediyorum ,negative,alacağım ama biraz tereddüt ediyorum,2,"[('biraz tereddüt ediyorum', 9.0), ('alacağım', 1.0)]","[('biraz tereddüt ediyorum', 9.0), ('alacağım', 1.0)]"
