id,texts,labels,PREPROCESSED_texts,SENTIMENT_PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,LANG_PREPROCESSED_texts
182,kızım 1 yaşında ve dogumundan beri sadece hepsiburada dan prima aldim herzaman. fakat bu son aldigim bezler farklı ve hic güzel degil pişik yapiyor simdi mecburen baska biryerden yeni bez almak zorundayimmm.,negative,kızım yaşında doğumundan sadece hepsiburada prima aldım herzaman son aldığım bezler farklı hiç güzel değil pişik yapıyor şimdi mecburen başka biryerden yeni bez almak zorundayım,negative,3,tr
183,daha önce aldığımız ürünlerde sorun yoktu. fakat son aldığımız ürün değişmiş iç yapısı farklı. dikkatli bakın karşılaştırın belli oluyor. bu değişiklik kötü olmuş çünkü çok fazla sızdırıyor. i̇çinden 5-6 tane kullandık ve başka bez almak zorunda kaldık.,negative,aldığımız ürünlerde sorun yoktu son aldığımız ürün değişmiş iç yapısı farklı dikkatli bakın karşılaştırın belli değişiklik kötü olmuş fazla sızdırıyor içinden tane kullandık başka bez almak zorunda kaldık,negative,2,tr
184,alışkanlık sebebiyle kullanıyoruz. bence diğer bir kaç yerli markayı kullanmak daha mantıklı. ,negative,alışkanlık sebebiyle kullanıyoruz bence yerli markayı kullanmak mantıklı,negative,1,tr
185,ürünün kargosu hızlı markası prima ama ürünün kendisi bence 2. kalite fiyatıda bu yüzden uygun alerji yapıyor ve bu süreç çok sıkıntılı 10-15 gün sürüyor bilginize..,negative,ürünün kargosu hızlı markası prima ürünün bence kalite fiyatı da yüzden uygun alerji süreç sıkıntılı gün sürüyor bilginize,negative,1,tr
186,doğudğundna beri aynı bezi kullanıyoruz prima ,negative,doğudğundna aynı bezi kullanıyoruz prima,positive,3,tr
187,çok memnunuz  kuru tutuyor uzun süre hiç pişik olmadı,negative,memnunuz kuru tutuyor uzun süre pişik,negative,1,tr
188,hızlı kargo uygun fiyat teşekkürler,negative,hızlı kargo uygun fiyat teşekkürler,positive,1,tr
189,hesaplı oldugu sürece alışveriş yapacagım ürün başka yerde yok,negative,hesaplı olduğu sürece alışveriş yapacağım ürün başka yerde yok,positive,0,tr
190,bebeğim doğduğundan beri bu ürünü kullanıyorum ama normal marketten alırdım hep burada daha uygun olduğunu görünce burdan aldım ama daha 3. bezde çocuğumun heryeri kabardı kızardı doktora götürdüm bez alerjisi bu bez çakma dedi egzama olmuş çocuğum dikkatli olmanızı tavsiye ederim çocuklarımızın sağlığı ile oynanıyor ,negative,bebeğim doğduğundan ürünü kullanıyorum normal marketten alırdım uygun görünce buradan aldım bezde çocuğumun heryeri kabardı kızardı doktora götürdüm bez alerjisi bez çakma dedi egzama olmuş çocuğum dikkatli olmanızı tavsiye ederim çocuklarımızın sağlığı oynanıyor,negative,1,tr
191,ürünü farklı markalarda denedim fakat bu ürünü başarılı buldum. tavsiye edilir,negative,ürünü farklı markalarda denedim ürünü başarılı buldum tavsiye edilir,positive,1,tr
192,ben ısterımkı   aynı gun teslımınız (agt) hizmetinizçorum ve çevre i̇llerdede olsun   o zaman daha cokperformans alacaginizdan hic supheniz olmasin ,negative,isterimdi aynı gün tesliminiz agit hizmetinizçorum çevre i̇llerdede zaman cokperformans alacağınızdan hiç şüpheniz olmasın,positive,2,tr
193,fiyat iyi ama bezler parfümlü ve pek de hoş kokmuyor. hoş koksa bile bebeklerde kokulu ürün kullanmak doğru değil. i̇landa ve buna ilişkin bir uyarı da yok.,negative,fiyat iyi bezler parfümlü hoş kokmuyor hoş koksa bebeklerde kokulu ürün kullanmak doğru ilanda ilişkin uyarı yok,negative,0,tr
194,premium care den çok çok kötü kalitesi ,negative,premium care den kötü kalitesi,negative,1,tr
195,hevesle alınacak bişey değil yüzeyi ve bandı jı kelitesiz,negative,hevesle alınacak bir şey yüzeyi bandı ji kalitesiz,negative,1,tr
196,"eşimin söylediğine göre pamuk azmış içinde çabuk doluyormuş ve pamuklar eşit dağıtılmamış beze kimi yerde fazla kimi yerde azmış.pamukta topaklanmalar ve yer yer kıymığa benzer tene  batan şeyler varmış.2 paket almıştım prima kalitesinde diye lakin yanılmışız primayla uzaktan yakından alakası yok gerçi ismi  pampers.tavisye etmiyorum ,alacaksanız prima ismi taşıyan ürünü alın.",negative,eşimin söylediğine pamuk azmış çabuk doluyormuş pamuklar eşit dağıtılmamış beze yerde fazla yerde azmışpamukta topaklanmalar yer yer kıymığa benzer tene batan varmış paket almıştım prima kalitesinde lakin yanılmışız primayla uzaktan yakından alakası yok gerçi ismi pamperstavisye etmiyorum alacaksanız prima ismi taşıyan ürünü alın,negative,3,tr
197,"parcalar birbirine neredeyse gecmeyecek derecede siki ayarlanmis, kurarken caniniz cikiyor. sonrasinda da cok kolayca baglanti noktalari kiriliyor. 6 aylik bir kedi raflarda dolasirken parcalar kirilabiliyor. kedi yatagi olarak is goruyor",negative,parçalar birbirine neredeyse geçmeyecek derecede sıkı ayarlanmış kurarken canınız çıkıyor sonrasında çok kolayca bağlantı noktaları kırılıyor aylık kedi raflarda dolaşırken parçalar kırılabiliyor kedi yatağı iş görüyor,negative,3,tr
198,idare eder kılıf boyutları iyi ayarlanmamış ,negative,idare eder kılıf boyutları iyi ayarlanmamış,negative,2,tr
199,ürünün resimleri mükemmel. açıkcası öyle bekledim çünkü hepsi buradan aldığım ürünler iyi göründüğü gibi geldi . ancak parçalarının plastikten ve raflarında kumaştan olması tamamen hayal kırıklığı yaşattı. çok kullanışsız. tavsiye etmiyorum. ,negative,ürünün resimleri mükemmel açıkçası bekledim buradan aldığım ürünler iyi göründüğü geldi parçalarının plastikten raflarında kumaştan hayal kırıklığı yaşattı kullanışsız tavsiye etmiyorum,negative,0,tr
200,süper olmasını beklemiyordum tabiki ama bu beklediğimdende kötü.,negative,süper olmasını beklemiyordum tabii ki beklediğimden de kötü,negative,3,tr
201,"alıyım demeyin, sallarken eğilen birşeyden hayır beklemeyin",negative,alayım demeyin sallarken eğilen birşeyden hayır beklemeyin,negative,1,tr
202,ürünü aldım borulara resmen sanayi yagı surmusler ellerim leş gibi oldu boyamış yollamıslar koydum aynı sekılde kutuya yarın gerı kargoluycam uzak durun,negative,ürünü aldım borulara resmen sanayi yağı sürmüşler ellerim leş boyamış yollamışlar koydum aynı şekilde kutuya yarın geri kargoluysam uzak durun,negative,4,tr
203,oncelikle urun beklentimi karsilamadi.urunun herseyi metal cubuktan yapilmasi daha uygun olabilir.raftaki bezler icinde baska sert malzemeden olusabilirdi.(sert pilastik olabilir) bu sekilde daha dayanikli ve daha uzunomurlu olabilir.,negative,öncelikle ürün beklentimi karşılamadıurunun herşeyi metal çubuktan yapılması uygun olabilirraftaki bezler içinde başka sert malzemeden oluşabilirdişert plastik olabilir şekilde dayanıklı uzunomurlu olabilir,negative,1,tr
204,"dolapların birinin rafındaki bezlerden birisi eksik çıktı.birde dolabın birinin çubuklarının hepsi plastik çıktı , diğer iki tanesinin ki demir.bu farklılıklar ve eksikliklerden memnun kalmadık.",negative,dolapların birinin rafındaki bezlerden eksik çıktıbirde dolabın birinin çubuklarının plastik çıktı tanesinin Demirsu farklılıklar eksikliklerden memnun kalmadık,negative,1,tr
205,ürün parasının ederi değil uzak durun derim,negative,ürün parasının ederi uzak durun derim,negative,4,tr
206,raf olması beklenen yerlerin boyutu uygun kesilmemiş. bu paraya değecek bir ürün değil. çok kötü,negative,raf beklenen yerlerin boyutu uygun kesilmemiş paraya değecek ürün kötü,negative,1,tr
207,parasinin karşiliği bu olmamali montajini yaptim söküp yeni̇den kargolama derdi̇ olmasa geri̇ i̇ade edeceği̇m. kilifi kali̇tesi̇z açiklamasinda yazan gi̇bi̇ alin başka yerde yeni̇den montajini yapin kullanin zor bi̇r daha bi̇r araya gelmez fermuarlari kötü montajdan sonra kilif i̇skelete uymuyor zorlarsaniz fermuarlar atiyor paket i̇çi̇nden her bi̇r parçadan yedek çikiyor deni̇yor yalan tek fazlalik yok. ayrica orta büyük raflar yerleri̇nde torba yapmiş durumda ölçüsünde di̇ki̇lmemi̇ş. tavsi̇ye etmi̇yorum. yillarca bu si̇teden almiş olduğum en kötü ürün,negative,parasının karşılığı olmamalı montajını yaptım söküp yeniden kargolara derdi olmasa geri iade edeceğim kılıfı kalı̇tesi̇z açıklamasında yazan gi̇bi̇ alın başka yerde yeniden montajını yapın kullanın zor bir bir araya gelmez fermuarları kötü montajdan kılıf iskelete uymuyor zorlarsanız fermuarlar atıyor paket i̇ci̇nden bir parçadan yedek çıkıyor deniyor yalan tek fazlalık yok ayrıca orta büyük raflar yerlerinde torba yapmış durumda ölçüsünde di̇ki̇lmemi̇s tavsiye etmiyorum yıllarca siteden almış olduğum kötü ürün,negative,4,tr
208,ortadaki askısı cok dandik kıyafetleri asmak icin askıyı iple bağlamak zorunda kaldık ,negative,ortadaki askısı çok dandik kıyafetleri aşmak için askıyı iple bağlamak zorunda kaldık,negative,2,tr
209,merhaba;,negative,merhaba,positive,2,id
210,"i̇lk olaraka halı süpürgesi değil, almak isteyenler bunu bilerek alsın, sonuç hüsran olur. üçgen emiş başlığındaki (4 adetti sanırım) küçük delikten emiş yapıyor, yani yüzeyi değil emiş başlığı ile varsa yüzey arasındaki hava boşluğundan emiş yapmak için tasarlanmış. hali ile bu deliklerden yaptığı emiş nedeni ile  halıyı temizlemediği gibi halıya yapışıyor. bu yapışma nedeni ile ürün halı üzerinde sağa, sola yön vermek istendiğinde çok zor manevra yapılıyor, gövdeden gıcırtılar geliyor, ileride vida yerlerinden dağılması muhtemel. ben mutfakta kullanmak için almıştım, sert yüzeylerde işini iyi yapıyor, halı yüzeylerdeki gibi sorunlu değil. sapının üzerinde sarılan kabloyu asmak için kancası var. güç ayarı olsaydı belki halıda daha başarılı olabilridi ama bu başlıkla imkansız.",negative,ilk olarak halı süpürgesi almak isteyenler bilerek alsın sonuç hüsran üçgen emiş başlığındaki adetti sanırım küçük delikten emiş yüzeyi emiş başlığı varsa yüzey arasındaki hava boşluğundan emiş tasarlanmış hali deliklerden emiş nedeni halıyı temizlemediği halıya yapışıyor yapışma nedeni ürün halı üzerinde sağa sola yön vermek istendiğinde zor manevra yapılıyor gövdeden gıcırtılar geliyor ileride vida yerlerinden dağılması muhtemel mutfakta kullanmak almıştım sert yüzeylerde işini iyi hali yüzeylerdeki sorunlu sapının üzerinde sarılan kabloyu asmak kancası güç ayarı olsaydı halıda başarılı olabilirdi başlıkla imkansız,negative,2,tr
211,anneme aldım 60 yaşında kadın sözde süpürgeyi çıkarmasın kolaylık olsun dedik okadar ağırki baya kas yaparsınız.ayrıca halı üzerinde yürütmek zor hatta çok zor annem 2 gün dayanamadı bana verdi inanın koca süpürgeyi hergün çıkarırır süpürürüm ama bunla ayda 1 bile süpürmem.,negative,anneme aldım yaşında kadın sözde süpürgeyi çıkarmasın kolaylık dedik o kadar ağır ki baya kas yaparsınızayrıca halı üzerinde yürütmek zor zor annem gün dayanamadı verdi inanın koca süpürgeyi hergün çıkarırım süpürürüm bununla ayda süpürmem,negative,4,tr
212,"yaklaşık 6 ay önce aldım , çekme gücü halı için yetersiz ,ufak tefek kırıntılar için ideal. birde kablosubu saracak bir yeri bulunmadığı için nereye dolayacağınızı bilemiyorsunuz. basit ama önemli bir detay bence.",negative,yaklaşık ay aldım çekme gücü hali yetersiz ufak tefek kırıntılar ideal birde kablosunu saracak yeri bulunmadığı dolayacağınızı bilemiyorsunuz basit önemli detay bence,negative,0,tr
213,bi̇r sene kullandim ve bi̇ri̇ne hedi̇ye etti̇m kurtulmak i̇çi̇n. hi̇ç tavsi̇ye etmi̇yorum. gövde çok ağir hali üzeri̇nde kaymiyor. daha hafi̇f ve güçlü modellere bakin deri̇m.,negative,bir sene kullandım bi̇ri̇ne hediye ettim kurtulmak i̇çi̇n hiç tavsiye etmiyorum gövde ağır hali üzerinde kaymıyor hafif güçlü modellere bakın derim,negative,4,tr
214,arkadaşlar aldım hemen iade ettim.halıda yürütebilmek için baya bi kuvvete ihtiyaç var.10 yaşındaki oğlum inanın yürütemedi.tekerleklerin yanına saçma bi destek yapmışlar ileri geri yaparken takılıyor.hi̇ç tavsi̇ye etmem.ha bu arada hepsi̇burada ya teşekkür ederim hemen iademi gerçekleştirdiler.,negative,arkadaşlar aldım hemen iade ettimhalıda yürütebilmek baya bir kuvvete ihtiyaç var yaşındaki oğlum inanın yürütemeditekerleklerin yanına saçma bir destek yapmışlar ileri geri yaparken takılıyorhi̇ç tavsiye etmemha Hepsiburada teşekkür ederim hemen iademi gerçekleştirdiler,negative,3,tr
215,kalıcı değil boşuna para vermeyin. ,negative,kalıcı boşuna para vermeyin,positive,1,tr
216,arkadaslar parfum kali̇ci̇ degi̇l tavsi̇ye etmem,negative,arkadaşlar parfüm kalı̇ci̇ değil tavsiye etmem,negative,0,tr
217,"kokusu uzun süre gitmiyor, hafif güzel diyorlar diye almıştım. verdiğiniz paraya değmez...",negative,kokusu uzun süre gitmiyor hafif güzel diyorlar almıştım verdiğiniz paraya değmez,negative,1,tr
218,beklentinin dışında alınacak bir parfüm değil.,negative,beklentinin dışında alınacak parfüm,negative,1,tr
219,koku kalici degil,negative,koku kalıcı değil,positive,2,tr
220,kalicilik sifir. 20 tllik rebul bile bundan daha iyi. yarim gun gitmiyor. kokusu hafif.,negative,kalıcılık sıfır talik rebul iyi yarım gün gitmiyor kokusu hafif,negative,3,tr
221,"kalıcı değil, çok beklentiye girmeyin derim",negative,kalıcı beklentiye girmeyin derim,negative,2,tr
222,guzel kokan acik parfumlerden farki olmayan kaliciligi sifir .almayin kesinlikle,negative,güzel kokan açık parfümlerden farkı kalıcılığı sıfır almayın kesinlikle,negative,2,tr
223,parfümun güzel ferah bir kokusu var ama kalıcılığı hiç yok,negative,parfümün güzel ferah kokusu kalıcılığı yok,negative,2,tr
224,"ürün jelatinsiz ve orjinal olduğu anlaşılmıyor.yurtdışından aynı ürünü aldığımda kalıcılığı daha fazlaydı veorjinla etiketleri vardı.bu üründe kalıcılık nerdeyse hiç yok.alırken düşünün bence, koku hemen uçuyor.parfüm içeriği az gibi.",negative,ürün jelatinsiz orjinal anlaşılmıyoryurtdışından aynı ürünü aldığımda kalıcılığı fazlaydı veorjinla etiketleri vardıbu üründe kalıcılık neredeyse yoğalırken düşünün bence kökü hemen uçuyorparfüm içeriği,negative,0,tr
225,yorumlara güvenerek aldım ancak koku hoşuma gitmedi ayrıca hiç kalıcı deği boşa havaya sıkıyoruz..l,negative,yorumlara güvenerek aldım koku hoşuma gitmedi kalıcı değil boşa havaya sıkıyoruz,negative,0,tr
226,kokusu hoşuma gitmedi zaten kalcılık diye bir şey yok kolonya olarak kullanabilir siniz.,negative,kokusu hoşuma gitmedi kalcılık yok kolonya kullanabilir siniz,negative,1,tr
227,arkadaslar genelde aldıgım ürünlerde yorumlara önem vererek alırım fakat bu üründe bunun dısına çıkmak istedim ve hata yaptıgımı tecrübe edinerek anladım. kalıcılık diye sey yok . alacak arkadaslar bunu değerlendirsin. ,negative,arkadaşlar genelde aldığım ürünlerde yorumlara önem vererek alırım üründe dışına çıkmak istedim hata yaptığını tecrübe edinerek anladım kalıcılık şey yok alacak arkadaşlar değerlendirsin,negative,0,tr
228,sıkarken bile kokusu gelmiyor su gibi birşey bu fiyata bu iyi dedim ama hiç iyi değilmiş,negative,sıkarken kokusu gelmiyor şu fiyata iyi dedim iyi değilmiş,negative,1,tr
229,kokuyu bir alabilsem yorumlayacak fakat kokmuyor ki. kalıcılık yaklaşık 35 saniye..,negative,kokuyu alabilsem yorumlayacak kokmuyor kalıcılık yaklaşık saniye,negative,3,tr
230,kokusu güzel ama kalıcılığı olmadığı için bu fiyatada olsa tavsiye etmem,negative,kokusu güzel kalıcılığı fiyata da tavsiye etmem,negative,2,tr
231,"kokuyu sıkıyorsunuz, yarım saat bile kokmuyor, tamamını boca etseniz belki 1 gün kokabilirsiniz :(",negative,kokuyu sikiyorsunuz yarım saat kokmuyor tamamını boca etseniz gün kokabilirsiniz,negative,1,tr
232,tabi zevkler değişir de bu bildiğin kolonya çok çok hafif bir kokusu var oda ilk fısfısta hava yok oluyor,negative,tabi zevkler değişir bildiğin kolonya hafif kokusu oda ilk fısfısta hava yok,negative,3,tr
233,kokusu 10 üzerinden 7 alır kalıcılığı ise 4 ,negative,kokusu üzerinden alır kalıcılığı,positive,2,tr
234,kokusu hoş denebilir ama kalıcılık ve etkisi beklenti altında,negative,kokusu hoş denebilir kalıcılık etkisi beklenti altında,negative,1,tr
235,"koku tam yazlık, yormuyor,  taze. ama kalıcılığı çok zayıf.  kullandıktan ( hem de uzun uzun sıktıktan) yarım saat sonra bir daha sıkmanız gerekiyor.   ",negative,koku yazlık yormuyor taze kalıcılığı zayıf kullandıktan uzun uzun sıktıktan yarım saat sıkmanız gerekiyor,negative,0,tr
236,uzun süredir kullanıyorum edt olması sebebiyle ciddi bir kalıcılık beklemiyorum. ama son süreçte esans miktarını iyice düşürmüşler. önceden enazından sabahtan öğleye kadar kokuyu ara ara hissediyordum. şuanda sabah evden çıktığım anda kokunun etkisi gidiyor.  sıktıktan 1 saat sonra üzerimi kokluyorum kokuyu alamıyorum,negative,uzun süredir kullanıyorum edt sebebiyle ciddi kalıcılık beklemiyorum son süreçte esans miktarını iyice düşürmüşler önceden en azından sabahtan öğleye kokuyu ara ara hissediyordum şu anda sabah evden çıktığım anda kokunun etkisi gidiyor sıktıktan saat üzerimi köklüyorum kokuyu alamıyorum,negative,1,tr
237,inanın kolonya bile daha etkileyici ve kalıcıdır. almayın derim.,negative,inanın kolonya etkileyici kalicidir almayın derim,negative,2,tr
238,"200 ml lik olanını aldım geçen gün kokusu çok hoş ,hafif ve fresh üründe orjinal ama kalıcılığı hiç yok yarım saat sonra  kokudan eser yok",negative,ml ilk olanını aldım geçen gün kokusu hoş hafif fresh üründe orjinal kalıcılığı yok yarım saat kokudan eser yok,negative,3,tr
239,ürünü hbdeki yorumlara göre aldım ama çok memnun değilim kalıcılık konusunda fena değil ama koku biraz ağır.i̇lk önce deneyiniz sonra beğenirseniz alın,negative,ürünü hbdeki yorumlara aldım memnun değilim kalıcılık konusunda fena koku ağıri̇lk deneyin beğenirseniz alın,negative,0,tr
240,gerçekten kullanan biri olarak kalıcılık sıfır. kokusu çok güzel ama baya sıkmama ragmen yarım saat bıle gecmeden koku kayboluyor.,negative,gerçekten kullanan kalıcılık sıfır kokusu güzel baya sıkmama rağmen yarım saat bile geçmeden koku kayboluyor,negative,2,tr
241,ben yıllardır ck one kullanıyorum bu sahte bir ck one su gibi çok kötü,negative,yıllardır ck one kullanıyorum sahte ck one su kotu,negative,0,tr
242,"kokusu hiç kalıcı değil. 1-2 saat işimi görür derseniz alın, yoksa işe yaramaz",negative,kokusu kalıcı saat işimi görür derseniz alın işe yaramaz,negative,2,tr
243,hafif koku olması nedeniyle güzel. fakat 5-6 kez sıkmama rağmen sabahtan öğlene kadar bile dayanamıyor kokusu... kalıcılık yok. çok fazla bir şey beklemeyin,negative,hafif koku nedeniyle güzel sıkmama sabahtan öğlene dayanamıyor kokusu kalıcılık yok fazla beklemeyin,negative,2,tr
244,ürün kabı orjinalde olması gereken jelatin kabında değil.ayrıca ürün kokusu senelerden beri kullandığım aynı marka parfüm ile çok farklı. daha keskin ve geniz yakıcı bir kokusu var selamlar...,negative,ürün kabı orjinal de gereken jelatin kabında değilayrıca ürün kokusu senelerden kullandığım aynı marka parfüm farklı keskin geniz yakıcı kokusu selamlar,negative,2,tr
245,koku güzel hoş bir koku fakat kalıcılığı için aynı şeyi söyleyemeyeceğim biraz daha kalıcı olabilirmiydi diye düşünüyorum. sonuçta orijinalini alıyoruz.,negative,koku güzel hoş koku kalıcılığı aynı söyleyemeyeceğim kalıcı olabilir miydi düşünüyorum sonuçta orjinalini alıyoruz,negative,0,tr
246,"kargo çok hızlı 24 saatte elime ulaşti ama,parfüm kokusu 1 saat sonra uçuyor..  ama fiyata göre iyi parfüm alınır...",negative,kargo hızlı saatte elime ulaştı amaparfüm kokusu saat uçuyor fiyata iyi parfüm alınır,negative,2,tr
247,"ürünü bugün teslim aldım, önceden yurtdışından aldığım orijinali bir koluma, hepsiburadadan aldığımı diğer koluma sıktım 5 dk sonra işyerindeki arkadaşlara, hangisinin ne olduğunu söylemeden, iki farklı parfüm koklatır gibi koklattım ve hepsi yurtdışından aldığımın daha güzel koktuğunu söyledi. ",negative,ürünü bugün teslim aldım önceden yurtdışından aldığım orijinal koluma hepsiburadadan aldığımı koluma sıktım dk işyerindeki arkadaşlara hangisinin söylemeden farklı parfüm koklatır koklattım yurtdışından aldığımın güzel koktuğunu söyledi,negative,0,tr
248,"gelen parfümde yoğun bir alkol kokusu geliyor ne yapılmış anlamadım, hepsiburada gibi bir siteye de yakıştıramadım.",negative,gelen parfümde yoğun alkol kokusu geliyor yapılmış anlamadım hepsiburada siteye yakıştıramadım,negative,2,tr
249,"bu ururnu ck kalitesine güvenerek denemeden aldım. çiçek kokusuna kaçmış hafif bir kokusu var , tam bir unisex parfum",negative,urunu ck kalitesine güvenerek denemeden aldım çiçek kokusuna kaçmış hafif kokusu unisex parfüm,negative,2,tr
250,"ürünü perşembe akşamı sipariş ettim cumartesi günü elime ulaştı. daha önceden de kullandığım bir parfümdü indirimi görünce bu sefer orijinal alıyım dedim ama şu an bir daha mı düşünseydim diyorum. sorun şu ki parfüm gerçekten hafif kalıcılığı çok az, çok güzel koksa da bu büyük bir handikap. sanırım bir sonraki parfümümde başka markalara yönelicem.",negative,ürünü perşembe akşamı sipariş ettim cumartesi günü elime ulaştı önceden kullandığım parfümdü indirimi görünce sefer orijinal alayım dedim an düşünseydim diyorum sorun parfüm gerçekten hafif kalıcılığı güzel koksa büyük handikap sanırım sonraki parfümümde başka markalara yöneleceğim,negative,3,tr
251,"fresh bir koku,hafif ve yaz kullanımı için bu fiyata ideal bir parfüm,kalıcılığı ise deodoranttan biraz fazla,almadan önce testerini denemenizi tavsiye ederim!",negative,fresh kokuhafif yaz kullanımı fiyata ideal parfümkalıcılığı deodoranttan fazlaalmadan testlerini denemenizi tavsiye ederim,positive,0,tr
252,fresh istiyorsanız bundan daha fresh bulamazsınız.kalıcılık fena değil.10 üzerinden 6. kesinlikle yazın kullanılmalı..koku nasıl başladıysa öle devam ediyor..ben kesinlikle tekrar kullanmak istemem..,negative,fresh istiyorsanız fresh bulamazsınızkalıcılık fena değil üzerinden kesinlikle yazın kullanılmalıkoku başladıysa öyle devam ediyorken kesinlikle tekrar kullanmak istemem,negative,0,tr
253,3-4 ay önce eşimle beraber kullanmak için aldık. halada ısrarla kullanıyoruz. fakat sonuç hiçte iyi değil. kalıcılık malesef yok. birimiz esmer tenli diğerimiz beyaz tenli. tavsiye edemem.,negative,ay eşimle beraber kullanmak aldık halada ısrarla kullanıyoruz sonuç hiçte iyi kalıcılık maalesef yok birimiz esmer tenli diğerimiz beyaz tenli tavsiye edemem,negative,3,tr
254,kalıcılık hiç yok. koku berbat,negative,kalıcılık yok koku berbat,negative,3,tr
255,"ürün geldi ve şok içindeyim woman değilde man olmalıydı bence erkek parfümüyle aynı,hiç beğenmedim.",negative,ürün geldi şok içindeyim woman değil de man olmalıydı bence erkek parfümüyle aynıhiç beğenmedim,negative,0,tr
256,"eşim için aldığım parfüm için ı yorum ""tam anlamıyla felaket""",negative,eşim aldığım parfüm yorum anlamıyla felaket,negative,2,tr
257,"kokusu guzel ve hos. kesinlikle rahatsiz edici olmayan taze ferah bir kokusu var fiyatida oldukca uygun, tavsiye ediyorum.",negative,kokusu güzel hoş kesinlikle rahatsız edici taze ferah kokusu fiyatı da oldukça uygun tavsiye ediyorum,negative,1,tr
258,gercekten hic kalici degil hic tavsiye etmiyorum disari cikana kadar kokusu bitiyor,negative,gerçekten hiç kalıcı değil hiç tavsiye etmiyorum dışarı çıkana kokusu bitiyor,negative,2,tr
259,beklediğim kadar iyi çıkmadı. kokusu idare eder düzeyde. kalıcılığı biraz zayıf,negative,beklediğim iyi çıkmadı kokusu idare eder düzeyde kalıcılığı zayıf,negative,2,tr
260,hafif bir koku tenime olmadı,negative,hafif koku tenime,positive,3,tr
261,şekerli ve ağır bir koku. doğrusu ben beğenmedim ve hayal kırıklığına uğradım. benim gibi hafif ve çiçeksi kokuları sevenlere göre değil.,negative,şekerli ağır koku doğrusu beğenmedim hayal kırıklığına uğradım hafif çiçekimsi kokuları sevenlere,negative,0,tr
262,yorumları okudum kısmen doğru ama bende öyle 100 sayfa falan değil siyah kartuş 100 u göremeden rahmetli oldu tabi yazdırılan sayfa boyutuda önemli fiyatına göre iyi denilebilir ,negative,yorumları okudum kısmen doğru bende sayfa siyah kartuş göremeden rahmetli tabi yazdırılan sayfa boyutu da önemli fiyatına iyi denebilir,negative,2,tr
263,atsammi kartusmu alsam kararsızım ??,negative,atsammi kartuşu alsam kararsızım,negative,2,tr
264,mac os x desteği ??? ;tak çalıştır mantığı sistem görüyor fakat yazdırmıyor.,negative,mac os x desteği tak çalıştır mantığı sistem görüyor yazdırmıyor,negative,3,tr
265,wifi üzerinden kullanmak için modeminizin desteklemesi lazım ki ttnet'in en fazla dağıttığı zyxel modemlerde wifi üzerinden kullanamadım. ,negative,wifi üzerinden kullanmak modeminizin desteklemesi lazım Tenet'in fazla dağıttığı zyxel modemlerde wifi üzerinden kullanamadım,negative,3,tr
266,alttaki yoruma aldanarak aldım ama yanlış yönlendirme. ,negative,alttaki yoruma aldanarak aldım yanlış yönlendirme,negative,4,tr
267,kötü bir ürün ,negative,kötü ürün,negative,1,tr
268,yazıcı iş görür ama kartuşları çabuk bitiyor ve kesinlikle 200 sayfa yazdıramıyorsunuz. başlarda 20-30 sayfa güzel çıktı veriyor sonra giderek yazı kalitesi hızla bozuluyor. yazıcı ucuz ama sarf malzemesi çabuk bittiği ve yüksek fiyatlı olduğu için ben memnun kalmadım.,negative,yazıcı iş görür kartuşları çabuk bitiyor kesinlikle sayfa yazdıramıyorsunuz başlarda sayfa güzel çıktı veriyor giderek yazı kalitesi hızla bozuluyor yazıcı ucuz sarf malzemesi çabuk bittiği yüksek fiyatlı memnun kalmadım,negative,2,tr
269,kartuşlari bi̇ti̇ği̇nde (100 sayfa yazmadan bi̇ti̇yor) yeni̇ kartuşlar yazicidan daha pahali.,negative,kartuşları bi̇ti̇gi̇nde sayfa yazmadan bi̇ti̇yor yeni kartuşlar yazıcıdan pahalı,negative,1,tr
270,i̇şi̇ bi̇tti̇ği̇nde di̇rek çöpe yani̇ kullan at yazici.,negative,i̇şi̇ bi̇tti̇ği̇nde direk çöpe yani kullan at yazıcı,negative,4,tr
271,pek birşey yazdırtmadım. renkli bitti diyor. günde bir ki tane basarsan 1 2 ay ancak yeter ,negative,yazdırtmadım renkli bitti diyor günde tane basarsan ay yeter,negative,2,tr
272,ben hiç beğenmedim çok az çıktı alıyor ve kartuşu doldurduğumda yine düzgün çıktı vermiyor kesinlikle tavsiye etmiyorum,negative,beğenmedim çıktı alıyor kartuşu doldurduğumda düzgün çıktı vermiyor kesinlikle tavsiye etmiyorum,negative,0,tr
273,urun ilk 10 sayfayı çok güzel verdi ama sonrasında renkler belirsiz karışık hatta insan figürlerinin gözleri öcü gibi cikti. boşa para verdim ben yine i̇nternet cafeden çıktı alıyorum ,negative,ürün ilk sayfayı güzel verdi sonrasında renkler belirsiz karışık insan figürlerinin gözleri öcü çıktı boşa para verdim İnternet cafeden çıktı alıyorum,negative,0,tr
