id,texts,labels
162,düzenli olarak kullndığım bir üründü ama prima 5 numara işe yaramaz..cok cok ince kalitesiz..sızdırma yapıo primayla alakası yok ..i̇ndirimli olmasına aldanmayın...,negative
163,bugün elime geçen aylik 4 ve 5 numaralı bezler iki oğlumda da aynı etkiyi gösterdi hem sızdırdı hem de pişik yapıyor.umarım hemen eski kalitesine geri döner.,negative
164,urunu almadan once bi̇r daha dusunun incecik  baska bi̇r markaya geci̇cem,negative
165,kesinlikle çok ince ve kalitesiz bir ürün. aşırı derecede pişik yapıyor.,negative
166,her zaman kullandığım iki çocuk buyuttugum bu bezleri,negative
167,"bende uzun zamandır düzenli olarak bu bezi kullanıyordum fakat son aldığım bezde bezin kalitesi çok düşük, alacak olanlar bir kez daha düşünsün. yabancı ülke menşeili olduğu ve kalitesi orijinal primaya göre alt seviyede olduğu için fiyatı bu kadar cazip büyük ihtimalle. pişman oldum aldığıma.",negative
168,ben de 5 numara bez aldım fakat bezler ciddi derecede sızdırıyor ve eski bezlerle karşılaştırıldığında kalitesiz,negative
169,"bu ürün berbat, prima kalitesine inanarak aldım fakat bin pişman oldum daha önce aldıklarıma benzemiyor, çocuğun altı sürekli pişiyor. kuru falan kaldığı yok hep ıslak nasıl yeni ürün anlamadım ürün berbat...",negative
170,önce ki bezim bitmemişti yeni gelen 2 kutu bezle karşılaştırdım,negative
171,o kdr inceki o kadar kötüki anlatamam size.,negative
172,alanlar önceki bezlerle karşılaştırsınlar.. uzak durun.,negative
173,fiyat olarak çok uygun ama kalitesi düşmüş. sızdırma yaptı ve eskiden altını ıslatıp ıslatmadığını açmadan anlayamazdık şimdi hemen fena koku yapıyor.,negative
174,burdan prima 4 numara bez aldım. daha öncede aynı satıcıdan bu bezlerden almıştım. son gelen paket bezler farklı çıktı.aynı 4 numara olmasına rağmen farklıydı. daha ince yapıda ve sızdırıyordu. tavsiye etmiyorum.,negative
175,13 aydır hep prima alıyorduk ve memnunduk. fakat son aldığım kutuda bezler çok kalitesiz ve sızdırıyor. kutunun üzerinde rusça bişeler yazıyor hatta. kalite düşük bu seride.,negative
176,sürekli buradan alıyorum hiç bir sorun ile karşılaşmadım fakat son aldığım 5 numara  bez çok kötü ilk defa başıma geldi bebeğim üstü her sabah ıslak kalkıyor bez sızdırıyor. i̇şallah düzeltilir.,negative
177,çok uzun zamandır çocuklarıma aldığım bezde bu defa kalite yok .bez çok sert incelmiş sızdırma desen çocuklarımın her yeri sırılsıklam oldu.hepsiburadadan çok güvenle alışveriş yapıyordum fakat bu defa olmadı ultraprima kalitesi kalmamış. ,negative
178,"2 yaşında oğlum için aldım ve devamlı kullandığım bez, fakat 3 gün önce aldığım paket çok kötü çıktı,i̇ncelmiş ve çok sızdırma yapıyor. fiyat kampanya yaptıkça kaliteyi düşürüyorlar, i̇ade edeceği̇m....",negative
179,"incelmiş, sızdırma ve pişik yapıyor. kalite gitmiş iade edeceğim",negative
180,i̇ki yasimdaki ogluma dogumundan beri kullandigim bebek bezini cogu kere de hepsiburadadan siparis verdim.ancak son gelen bebek bezi cok kotu cikti.sabah sırılsıklam uyanıyor oğlum mecbur başka bir bez alacagim.,negative
181,benden ayrı yorum yapanda olmuş değişikliği farkederek sürekli prima alıyorum hepsiburadadan çok memnunduk ilk kez 2 li alım kampanyası olduğunu gördüm uygun olduğu için aldım fakat iç deseni değişmiş ve incelmiş sızdırıyor hepsiburadaya yakışmadı ,negative
182,kızım 1 yaşında ve dogumundan beri sadece hepsiburada dan prima aldim herzaman. fakat bu son aldigim bezler farklı ve hic güzel degil pişik yapiyor simdi mecburen baska biryerden yeni bez almak zorundayimmm.,negative
183,daha önce aldığımız ürünlerde sorun yoktu. fakat son aldığımız ürün değişmiş iç yapısı farklı. dikkatli bakın karşılaştırın belli oluyor. bu değişiklik kötü olmuş çünkü çok fazla sızdırıyor. i̇çinden 5-6 tane kullandık ve başka bez almak zorunda kaldık.,negative
184,alışkanlık sebebiyle kullanıyoruz. bence diğer bir kaç yerli markayı kullanmak daha mantıklı. ,negative
185,ürünün kargosu hızlı markası prima ama ürünün kendisi bence 2. kalite fiyatıda bu yüzden uygun alerji yapıyor ve bu süreç çok sıkıntılı 10-15 gün sürüyor bilginize..,negative
186,doğudğundna beri aynı bezi kullanıyoruz prima ,negative
187,çok memnunuz  kuru tutuyor uzun süre hiç pişik olmadı,negative
188,hızlı kargo uygun fiyat teşekkürler,negative
189,hesaplı oldugu sürece alışveriş yapacagım ürün başka yerde yok,negative
190,bebeğim doğduğundan beri bu ürünü kullanıyorum ama normal marketten alırdım hep burada daha uygun olduğunu görünce burdan aldım ama daha 3. bezde çocuğumun heryeri kabardı kızardı doktora götürdüm bez alerjisi bu bez çakma dedi egzama olmuş çocuğum dikkatli olmanızı tavsiye ederim çocuklarımızın sağlığı ile oynanıyor ,negative
191,ürünü farklı markalarda denedim fakat bu ürünü başarılı buldum. tavsiye edilir,negative
192,ben ısterımkı   aynı gun teslımınız (agt) hizmetinizçorum ve çevre i̇llerdede olsun   o zaman daha cokperformans alacaginizdan hic supheniz olmasin ,negative
193,fiyat iyi ama bezler parfümlü ve pek de hoş kokmuyor. hoş koksa bile bebeklerde kokulu ürün kullanmak doğru değil. i̇landa ve buna ilişkin bir uyarı da yok.,negative
194,premium care den çok çok kötü kalitesi ,negative
195,hevesle alınacak bişey değil yüzeyi ve bandı jı kelitesiz,negative
196,"eşimin söylediğine göre pamuk azmış içinde çabuk doluyormuş ve pamuklar eşit dağıtılmamış beze kimi yerde fazla kimi yerde azmış.pamukta topaklanmalar ve yer yer kıymığa benzer tene  batan şeyler varmış.2 paket almıştım prima kalitesinde diye lakin yanılmışız primayla uzaktan yakından alakası yok gerçi ismi  pampers.tavisye etmiyorum ,alacaksanız prima ismi taşıyan ürünü alın.",negative
197,"parcalar birbirine neredeyse gecmeyecek derecede siki ayarlanmis, kurarken caniniz cikiyor. sonrasinda da cok kolayca baglanti noktalari kiriliyor. 6 aylik bir kedi raflarda dolasirken parcalar kirilabiliyor. kedi yatagi olarak is goruyor",negative
198,idare eder kılıf boyutları iyi ayarlanmamış ,negative
199,ürünün resimleri mükemmel. açıkcası öyle bekledim çünkü hepsi buradan aldığım ürünler iyi göründüğü gibi geldi . ancak parçalarının plastikten ve raflarında kumaştan olması tamamen hayal kırıklığı yaşattı. çok kullanışsız. tavsiye etmiyorum. ,negative
200,süper olmasını beklemiyordum tabiki ama bu beklediğimdende kötü.,negative
201,"alıyım demeyin, sallarken eğilen birşeyden hayır beklemeyin",negative
202,ürünü aldım borulara resmen sanayi yagı surmusler ellerim leş gibi oldu boyamış yollamıslar koydum aynı sekılde kutuya yarın gerı kargoluycam uzak durun,negative
203,oncelikle urun beklentimi karsilamadi.urunun herseyi metal cubuktan yapilmasi daha uygun olabilir.raftaki bezler icinde baska sert malzemeden olusabilirdi.(sert pilastik olabilir) bu sekilde daha dayanikli ve daha uzunomurlu olabilir.,negative
204,"dolapların birinin rafındaki bezlerden birisi eksik çıktı.birde dolabın birinin çubuklarının hepsi plastik çıktı , diğer iki tanesinin ki demir.bu farklılıklar ve eksikliklerden memnun kalmadık.",negative
205,ürün parasının ederi değil uzak durun derim,negative
206,raf olması beklenen yerlerin boyutu uygun kesilmemiş. bu paraya değecek bir ürün değil. çok kötü,negative
207,parasinin karşiliği bu olmamali montajini yaptim söküp yeni̇den kargolama derdi̇ olmasa geri̇ i̇ade edeceği̇m. kilifi kali̇tesi̇z açiklamasinda yazan gi̇bi̇ alin başka yerde yeni̇den montajini yapin kullanin zor bi̇r daha bi̇r araya gelmez fermuarlari kötü montajdan sonra kilif i̇skelete uymuyor zorlarsaniz fermuarlar atiyor paket i̇çi̇nden her bi̇r parçadan yedek çikiyor deni̇yor yalan tek fazlalik yok. ayrica orta büyük raflar yerleri̇nde torba yapmiş durumda ölçüsünde di̇ki̇lmemi̇ş. tavsi̇ye etmi̇yorum. yillarca bu si̇teden almiş olduğum en kötü ürün,negative
208,ortadaki askısı cok dandik kıyafetleri asmak icin askıyı iple bağlamak zorunda kaldık ,negative
209,merhaba;,negative
210,"i̇lk olaraka halı süpürgesi değil, almak isteyenler bunu bilerek alsın, sonuç hüsran olur. üçgen emiş başlığındaki (4 adetti sanırım) küçük delikten emiş yapıyor, yani yüzeyi değil emiş başlığı ile varsa yüzey arasındaki hava boşluğundan emiş yapmak için tasarlanmış. hali ile bu deliklerden yaptığı emiş nedeni ile  halıyı temizlemediği gibi halıya yapışıyor. bu yapışma nedeni ile ürün halı üzerinde sağa, sola yön vermek istendiğinde çok zor manevra yapılıyor, gövdeden gıcırtılar geliyor, ileride vida yerlerinden dağılması muhtemel. ben mutfakta kullanmak için almıştım, sert yüzeylerde işini iyi yapıyor, halı yüzeylerdeki gibi sorunlu değil. sapının üzerinde sarılan kabloyu asmak için kancası var. güç ayarı olsaydı belki halıda daha başarılı olabilridi ama bu başlıkla imkansız.",negative
211,anneme aldım 60 yaşında kadın sözde süpürgeyi çıkarmasın kolaylık olsun dedik okadar ağırki baya kas yaparsınız.ayrıca halı üzerinde yürütmek zor hatta çok zor annem 2 gün dayanamadı bana verdi inanın koca süpürgeyi hergün çıkarırır süpürürüm ama bunla ayda 1 bile süpürmem.,negative
212,"yaklaşık 6 ay önce aldım , çekme gücü halı için yetersiz ,ufak tefek kırıntılar için ideal. birde kablosubu saracak bir yeri bulunmadığı için nereye dolayacağınızı bilemiyorsunuz. basit ama önemli bir detay bence.",negative
213,bi̇r sene kullandim ve bi̇ri̇ne hedi̇ye etti̇m kurtulmak i̇çi̇n. hi̇ç tavsi̇ye etmi̇yorum. gövde çok ağir hali üzeri̇nde kaymiyor. daha hafi̇f ve güçlü modellere bakin deri̇m.,negative
214,arkadaşlar aldım hemen iade ettim.halıda yürütebilmek için baya bi kuvvete ihtiyaç var.10 yaşındaki oğlum inanın yürütemedi.tekerleklerin yanına saçma bi destek yapmışlar ileri geri yaparken takılıyor.hi̇ç tavsi̇ye etmem.ha bu arada hepsi̇burada ya teşekkür ederim hemen iademi gerçekleştirdiler.,negative
215,kalıcı değil boşuna para vermeyin. ,negative
216,arkadaslar parfum kali̇ci̇ degi̇l tavsi̇ye etmem,negative
217,"kokusu uzun süre gitmiyor, hafif güzel diyorlar diye almıştım. verdiğiniz paraya değmez...",negative
218,beklentinin dışında alınacak bir parfüm değil.,negative
219,koku kalici degil,negative
220,kalicilik sifir. 20 tllik rebul bile bundan daha iyi. yarim gun gitmiyor. kokusu hafif.,negative
221,"kalıcı değil, çok beklentiye girmeyin derim",negative
222,guzel kokan acik parfumlerden farki olmayan kaliciligi sifir .almayin kesinlikle,negative
223,parfümun güzel ferah bir kokusu var ama kalıcılığı hiç yok,negative
224,"ürün jelatinsiz ve orjinal olduğu anlaşılmıyor.yurtdışından aynı ürünü aldığımda kalıcılığı daha fazlaydı veorjinla etiketleri vardı.bu üründe kalıcılık nerdeyse hiç yok.alırken düşünün bence, koku hemen uçuyor.parfüm içeriği az gibi.",negative
225,yorumlara güvenerek aldım ancak koku hoşuma gitmedi ayrıca hiç kalıcı deği boşa havaya sıkıyoruz..l,negative
226,kokusu hoşuma gitmedi zaten kalcılık diye bir şey yok kolonya olarak kullanabilir siniz.,negative
227,arkadaslar genelde aldıgım ürünlerde yorumlara önem vererek alırım fakat bu üründe bunun dısına çıkmak istedim ve hata yaptıgımı tecrübe edinerek anladım. kalıcılık diye sey yok . alacak arkadaslar bunu değerlendirsin. ,negative
228,sıkarken bile kokusu gelmiyor su gibi birşey bu fiyata bu iyi dedim ama hiç iyi değilmiş,negative
229,kokuyu bir alabilsem yorumlayacak fakat kokmuyor ki. kalıcılık yaklaşık 35 saniye..,negative
230,kokusu güzel ama kalıcılığı olmadığı için bu fiyatada olsa tavsiye etmem,negative
231,"kokuyu sıkıyorsunuz, yarım saat bile kokmuyor, tamamını boca etseniz belki 1 gün kokabilirsiniz :(",negative
232,tabi zevkler değişir de bu bildiğin kolonya çok çok hafif bir kokusu var oda ilk fısfısta hava yok oluyor,negative
233,kokusu 10 üzerinden 7 alır kalıcılığı ise 4 ,negative
234,kokusu hoş denebilir ama kalıcılık ve etkisi beklenti altında,negative
235,"koku tam yazlık, yormuyor,  taze. ama kalıcılığı çok zayıf.  kullandıktan ( hem de uzun uzun sıktıktan) yarım saat sonra bir daha sıkmanız gerekiyor.   ",negative
236,uzun süredir kullanıyorum edt olması sebebiyle ciddi bir kalıcılık beklemiyorum. ama son süreçte esans miktarını iyice düşürmüşler. önceden enazından sabahtan öğleye kadar kokuyu ara ara hissediyordum. şuanda sabah evden çıktığım anda kokunun etkisi gidiyor.  sıktıktan 1 saat sonra üzerimi kokluyorum kokuyu alamıyorum,negative
237,inanın kolonya bile daha etkileyici ve kalıcıdır. almayın derim.,negative
238,"200 ml lik olanını aldım geçen gün kokusu çok hoş ,hafif ve fresh üründe orjinal ama kalıcılığı hiç yok yarım saat sonra  kokudan eser yok",negative
239,ürünü hbdeki yorumlara göre aldım ama çok memnun değilim kalıcılık konusunda fena değil ama koku biraz ağır.i̇lk önce deneyiniz sonra beğenirseniz alın,negative
240,gerçekten kullanan biri olarak kalıcılık sıfır. kokusu çok güzel ama baya sıkmama ragmen yarım saat bıle gecmeden koku kayboluyor.,negative
241,ben yıllardır ck one kullanıyorum bu sahte bir ck one su gibi çok kötü,negative
242,"kokusu hiç kalıcı değil. 1-2 saat işimi görür derseniz alın, yoksa işe yaramaz",negative
243,hafif koku olması nedeniyle güzel. fakat 5-6 kez sıkmama rağmen sabahtan öğlene kadar bile dayanamıyor kokusu... kalıcılık yok. çok fazla bir şey beklemeyin,negative
244,ürün kabı orjinalde olması gereken jelatin kabında değil.ayrıca ürün kokusu senelerden beri kullandığım aynı marka parfüm ile çok farklı. daha keskin ve geniz yakıcı bir kokusu var selamlar...,negative
245,koku güzel hoş bir koku fakat kalıcılığı için aynı şeyi söyleyemeyeceğim biraz daha kalıcı olabilirmiydi diye düşünüyorum. sonuçta orijinalini alıyoruz.,negative
246,"kargo çok hızlı 24 saatte elime ulaşti ama,parfüm kokusu 1 saat sonra uçuyor..  ama fiyata göre iyi parfüm alınır...",negative
247,"ürünü bugün teslim aldım, önceden yurtdışından aldığım orijinali bir koluma, hepsiburadadan aldığımı diğer koluma sıktım 5 dk sonra işyerindeki arkadaşlara, hangisinin ne olduğunu söylemeden, iki farklı parfüm koklatır gibi koklattım ve hepsi yurtdışından aldığımın daha güzel koktuğunu söyledi. ",negative
248,"gelen parfümde yoğun bir alkol kokusu geliyor ne yapılmış anlamadım, hepsiburada gibi bir siteye de yakıştıramadım.",negative
249,"bu ururnu ck kalitesine güvenerek denemeden aldım. çiçek kokusuna kaçmış hafif bir kokusu var , tam bir unisex parfum",negative
250,"ürünü perşembe akşamı sipariş ettim cumartesi günü elime ulaştı. daha önceden de kullandığım bir parfümdü indirimi görünce bu sefer orijinal alıyım dedim ama şu an bir daha mı düşünseydim diyorum. sorun şu ki parfüm gerçekten hafif kalıcılığı çok az, çok güzel koksa da bu büyük bir handikap. sanırım bir sonraki parfümümde başka markalara yönelicem.",negative
251,"fresh bir koku,hafif ve yaz kullanımı için bu fiyata ideal bir parfüm,kalıcılığı ise deodoranttan biraz fazla,almadan önce testerini denemenizi tavsiye ederim!",negative
252,fresh istiyorsanız bundan daha fresh bulamazsınız.kalıcılık fena değil.10 üzerinden 6. kesinlikle yazın kullanılmalı..koku nasıl başladıysa öle devam ediyor..ben kesinlikle tekrar kullanmak istemem..,negative
253,3-4 ay önce eşimle beraber kullanmak için aldık. halada ısrarla kullanıyoruz. fakat sonuç hiçte iyi değil. kalıcılık malesef yok. birimiz esmer tenli diğerimiz beyaz tenli. tavsiye edemem.,negative
254,kalıcılık hiç yok. koku berbat,negative
255,"ürün geldi ve şok içindeyim woman değilde man olmalıydı bence erkek parfümüyle aynı,hiç beğenmedim.",negative
256,"eşim için aldığım parfüm için ı yorum ""tam anlamıyla felaket""",negative
257,"kokusu guzel ve hos. kesinlikle rahatsiz edici olmayan taze ferah bir kokusu var fiyatida oldukca uygun, tavsiye ediyorum.",negative
258,gercekten hic kalici degil hic tavsiye etmiyorum disari cikana kadar kokusu bitiyor,negative
259,beklediğim kadar iyi çıkmadı. kokusu idare eder düzeyde. kalıcılığı biraz zayıf,negative
260,hafif bir koku tenime olmadı,negative
261,şekerli ve ağır bir koku. doğrusu ben beğenmedim ve hayal kırıklığına uğradım. benim gibi hafif ve çiçeksi kokuları sevenlere göre değil.,negative
262,yorumları okudum kısmen doğru ama bende öyle 100 sayfa falan değil siyah kartuş 100 u göremeden rahmetli oldu tabi yazdırılan sayfa boyutuda önemli fiyatına göre iyi denilebilir ,negative
263,atsammi kartusmu alsam kararsızım ??,negative
264,mac os x desteği ??? ;tak çalıştır mantığı sistem görüyor fakat yazdırmıyor.,negative
265,wifi üzerinden kullanmak için modeminizin desteklemesi lazım ki ttnet'in en fazla dağıttığı zyxel modemlerde wifi üzerinden kullanamadım. ,negative
266,alttaki yoruma aldanarak aldım ama yanlış yönlendirme. ,negative
267,kötü bir ürün ,negative
268,yazıcı iş görür ama kartuşları çabuk bitiyor ve kesinlikle 200 sayfa yazdıramıyorsunuz. başlarda 20-30 sayfa güzel çıktı veriyor sonra giderek yazı kalitesi hızla bozuluyor. yazıcı ucuz ama sarf malzemesi çabuk bittiği ve yüksek fiyatlı olduğu için ben memnun kalmadım.,negative
269,kartuşlari bi̇ti̇ği̇nde (100 sayfa yazmadan bi̇ti̇yor) yeni̇ kartuşlar yazicidan daha pahali.,negative
270,i̇şi̇ bi̇tti̇ği̇nde di̇rek çöpe yani̇ kullan at yazici.,negative
271,pek birşey yazdırtmadım. renkli bitti diyor. günde bir ki tane basarsan 1 2 ay ancak yeter ,negative
272,ben hiç beğenmedim çok az çıktı alıyor ve kartuşu doldurduğumda yine düzgün çıktı vermiyor kesinlikle tavsiye etmiyorum,negative
273,urun ilk 10 sayfayı çok güzel verdi ama sonrasında renkler belirsiz karışık hatta insan figürlerinin gözleri öcü gibi cikti. boşa para verdim ben yine i̇nternet cafeden çıktı alıyorum ,negative
274,fotoğraf için uygun değil. kenarlıksız yazdırma özelliği olmadığı gibi bıraktığı kenar boşlukları simetrik değil. makasla düzeltmeniz gerekiyor. baskı kaliteside çok tatmin edici düzeyde değil. fotoğraf amaçlı kullanılmayacaksa alınabilir kutu içeriğindeki 2 kartuşa ilave siyah kartuş hediyesiyle cihaz bedavaya geliyor.,negative
275,i̇lk çocuğumuz olduğu için çevremizden duyduğumuz bu ürünü kullandık ancak sürekli sızıntı ve bebeğimize rahatsızlık veriyordu. (bebeğimiz erkek) 2 paketide hb nın avantajlı kampanyasi ile aldık ancak problemler devam etti şuan yine hb üzerinden aldığımız molfix kullanıyoruz ve 3 aylık oğlumuzda önceden yaşadığımız hiçbir şikayet yok. bence bu ürünün adı çıkmış kesinlikle tavsiye etmiyorum.,negative
276,bezi hiç begenmedim. sanırım bu aynı markanın ikinci kalitesi. almamanizi tavsiye ederim.,negative
277,"uzun zamandır hiçbir ürünü zamanında kargolayamayan hepsiburada, aynı kargo yazan bu ürünü 2. gün sonunda hala daha kargolayabilmiş değil. tebrikler",negative
278,mükemmel derecede sizdiriyor..,negative
279,alt açma bezi̇ çok zayif..,negative
280,"sınıfa diye aldım. iş görür mü, görüyor fakat raf aralıklarının eşit olmamasını beğenmedim. fiyat-kalite oranı normal. ",negative
281,uzunluk iyi ancak eni kısa. i̇htiyaç görür. ,negative
282,parçalarında ince işcilik yok.,negative
283,sağ üst kısmın kaplaması zarar görmüş halde geldi. kurarken alyan vidalar yerine tam oturmadı.kurduktan sonra da biraz sallanma var. çok kaliteli bir ürün değil.,negative
284,fiyatına göre idare eder.,negative
285,yanlış vida yuvaları olduğu için ben tekrar yeni yuvalar açmak zorunda kaldım.,negative
286,malzeme kalitesiz.. imalat çok özensiz..  verilen parayı yeterince hakedemeyen bir ürün.,negative
287,ürün fiyata göre idare eder. ama kurulum klavuzu iş görmüyor,negative
288,merhabalar kitaplığımı kurdum kullanmaya başladım. taşıma esnasında çok ufak bir darbe almış onun dışında memnun kaldım. teşekür ederim,negative
289,almiş olduğum ariel toz çamaşıt deterjanı dağ esintisi 9 kg iyi. ancak 7 kg lık parlak renkler 7 kg makinenin hazinesinde bir kısmı top olarak kalıyor.,negative
290,saygılarımla ,negative
291,telefona bilgileri aktarımında sıkıntı var kendi gösterdiği ile telefonda ki farklı oluyor. ayrıca arayan bilgisi ve diğer bildirimlerde uyarı vermemesi ciddi eksiklik.,negative
292,prensip olarak çok kolay beğenen biriyimdir. ancak bu ürünü aldigim gün iade ettim. zira gerçekten fonksiyonel olarak hiç bir işe yaramaz.,negative
293,urunun kendi uygulamasi bir ise yaramaz. cihazin hakkini verebilmek icin ucretli mi band tools indirmelisiniz cihazin butun fonksiyonlari o zaman calisiyor. whatsapp dan gelen mesajlari okuyabilirsiniz cihaz ekranindan telefonunuza gelen butun bildirimler ekranda gorunuyor...ucretli uygulama olmadan oyuncaktan baska biseye benzemiyor...,negative
294,nabiz ölçümü gün içerisinde otomatik yaptığını zannediyordum yanıldım. uyku izleyici gündüz uyuduğum süreleri görmezden gelmiş. adimsayar ve diğer özellikler iyi. yani alırken bunları göz önünde bulundurun.,negative
295,"yeterince iyi bulmadım,beklentimi karşılamadı daha iyi olabilirdi.",negative
296,hergün tıraş olduğum halde bıçaklar 10 günde körlesiyor,negative
297,"her gün traş olan bi̇ri̇si̇ i̇çi̇n i̇yi̇ fakat, uzun sakallarda sürekli̇ tikaniyor.",negative
298,sağa sola dönebilmesi biraz güvensizlik hissi veriyor. bilmem alışabilecek miyiz.,negative
299,"ayrıca dikkat edin arka taraflarında da bıçak var, ben bıçakların arkası ile yukarıdan fazla köpüğü alıyordum, bunda dikkat etmeyince şakaklardan biraz saç aldık :) komik oldu.",negative
300,uzun yıllardır gillette mach 3 sensitive  kullanıcısıyim bı deneyeyiyim diye aldım ama bence hayal kırıklığı bence vazgeçip mach 3 u geliştirebilirler mesela daha fazla kayganlastirici kullanabilirler ve daha fazla tras sayısına ulaşmaya çalışabilirler ancak pro glide olmamis,negative
301,hızlı kargo gayet iyi teslimat. ,negative
302,ben normalde mach3 kullanıyorum ama deneme amaçlı aldım fusion u ama hiç beğenmedim rahat bi tıraşı yok oynat başlığı hiç bir işe yaramıyor ve gerçekten çok ağır rahat tıraş olunamıyor ağırlıktan dolayı. ben memnun kalmadım alacak olana da mani olmam ama tavsiye etmem. ,negative
303,her gün traş olanlar alabilir değil hafta da 1 traş oluyorum diyaorsan yaklaşma mac3 doğru tercih olur 5 bıcak araları dar olduğu için doluyor mac3 daha geniş araya sahip bu detay çok önemli ben aldım pişmanım bıçaklar bitene kadar gün aşırı traş olacağız artık :))),negative
304,mach 3 kullanıyorsun mach 3 gore gayet iyi,negative
305,"traşı hiç rahat değil.  o top sadece görüntü katmış makineye, bir işlevi yok.  gereksiz hareket sistemi var. favori düzeltmek işkence.  'gilette fusion proglide' yerine yine 5 bıçaklı 'gilette fusion' almanızı tavsiye ederim.",negative
306,yıllardır gillette fusion kullanıyorum satın aldığım ürün gerçek gillette fusion a yaklaşamaz bile,negative
307,ürünü gecen hafta aldim..normalde 5 6 dk ya kolaylikla sac trasi olurken simdi yeni jiletle bu süre  15 dk yi buluyor...jiletleri hic begenmedim sanki 3 ay kullanilmis jilet gibi..acmamis olsam kesinlikle geri gonderirdim...,negative
308,her sabah tıraş olmuyorsanız hiç bulaşmayın derim çünkü iki üç günlük sakalı alırken çok çabuk tıkanıyor. flexballun hiçbir esprisi yok. diğer 3 bıçaklılardan sonra full konfor beklerken tahriş aynı oranda hatta artarak devam etti çünkü fazladan iki bıçak tarafından daha tahriş ediliyorsunuz. gereksiz ve pahalı olduğu için hiç tavsiye etmiyorum.,negative
309,büyük umutlarla almistim ama pek memnun kalmadim.,negative
310,"herkes iyi mükemmel demiş ama ben katılmıyorum. bıçak araları dar ve 5 bıçak mach 3e göre daha tahrişli kesiyor. kullanmadığım 8 bıçağı pgye geri gönderim, m3 ile değiştirdiler. bu yüzden pge teşekkür ediyorum.",negative
311,gillette ürünleri arasında orta segment bir ürün,negative
312,üründe sıkıntı yok ancak kargo geç geldi,negative
313,aldığim ürün idare eder. cokta memnun kaldigimi soyleyemem.,negative
314,eski kalitesi kalmamış ama tek kullanımdan iyidir,negative
315,süper,negative
316,"ürün aynı fakat kargo konusunda sıkıntı yaşadım perşembe sipariş verdim aynı gün kargo diyordu, pazartesi elime ulaştı.",negative
317,kalite ve uygun fiyat. ,negative
318,bıçakları o kadar kaliteli değil maalesef ,negative
319,rahat edemedim. daha kaliteli olabilirdi.,negative
320,yatak çok  sert kesinlikle  memnun  değilim 1 ay oldu  alışamadım.  yorumları  okuyup  iyi  bir yatak  olduğunu  düşündüm.  fakat yorumlar  çok  yanıltıcı. bana yorumlar  acaba  fake  mi  diye düşündüren  bir ürün.,negative
321,eğer yumuşak bir yatak istiyorsanız tercihiniz bu ürün olmasın çünkü oldukça sert ben kullanamadım kalktığımda ağrılı uyandım,negative
322,yaklaşık bir haftadır kullanıyoruz.sert ve güzel .fakat visco özelliğini daha hissedemedim. visco özelik arayanlar ve bel ağrısı olanlar biraz daha araştırsınlar. eski yatağa göre bel ağrısı çekmiyorum ama çok da rahat uyumadım. fiyatına göre fena değil tabi ki de,negative
323,yumuşak diyen arkadaşlara katılmıyorum. bildiğiniz kaya gibi birşey geldi bana.gorusunu şık olsada sert.100+ kiloya sahip işi gücü yemek icmek yatmak olan obezseniz bilemiyorum.70-80 kilo birisi için sert yatak.,negative
324,"ürün çok güzel.kaliteli .lakin yaylı yatakta yatmaya alışmış biri için değişik gelebilir visco yatak.ben çok yumuşak ,içine gömüldüğüm yatak seviyorum.visco esnemiyor bile.kendini sırt üstü yatağa atarsan sertliği ile tanışıyorsun.",negative
325,"ürün teslimatı çok hızlı, iki günde ulaştı. ancak ambalajı açalı 4 gün olmasına rağmen hala koku gitmedi.",negative
326,"bu başlık, ortasındaki silikon daire sebebiyle çok sert fırçalıyor. yumuşak fırçalama sevenler için hiç kullanışlı değil, bir daha almayı düşünmüyorum. ",negative
327,"ürünün geliş hızı müthiş, kalitesi tıpkı fotoğrafta görüldüğü gibi. fakat eğer ki sizin de dişleriniz ve diş etleriniz hassas ve mine tabakasına zarar vermesini istemiyorsanız bu ürünü tercih etmemelisiniz. kılları sert. benim canımı acıttı ve sızlamayan dişlerim sızlamaya başladı bir hayli. sensitive başlık sipariş vermek zorunda kaldım. ama yine de oral b kalitesi kıyaslanmaz hiç bir ürünle. hepsiburada güvenini de asla es geçemem :)",negative
328,yani makinasını aldım diye aldım,negative
329,i̇stenilen etkiyi göremedim boşa paranızı harcamayın ,negative
330,iyi yorum yapanlar sanırım satıcılarla akraba hiç bir şekilde tavsiye etmiyorum tam bir hayal kırıklığı ki bende erken boşalma sorunu var yıllardır kullanırım ama bunun gibi işe yaramayan rastlamadım daha önce verdiğim paraya yazık :(,negative
331,kargo vs sknti yok da ilk kez kullanma firsatim oldu 20-30 dk bekledik vs neyse de hic oyle bi değişme olmadi 15dk-40dk arasi bisey bekliyodum ama hüsran  yorumlara bakip almistim sanirim kisiden kisiye degisiyor ya da ben mo farkli kullanmadim anlamadim yani.,negative
332,ne yalan söyleyeyim hiç bir işe yaramadı kullanan arkadaşlar neye göre iyi diyorlar onuda anlamış değilim açıkçası,negative
333,verilen paraya yazık tavsiye etmem,negative
334,bugun aldim bir faydasini goremedim açıkcasi,negative
335,anlatılan ile hiç alakası yok paranızı boşa vermeyin derim. bunun yerine porcodille alın daha iyi hiç bir faydası yok.,negative
336,ürün beklentilerin aşasında hiç tavsiye etmem,negative
337,"işe yaramıyor,bir fonksiyonu yoktur.",negative
